id , phrase
1    , 'TIS THE SEASON TICKETS
2    , A BLAST FROM THE PAST PRESENT AND FUTURE
3    , A BLAST FROM THE PAST PRESENT AND FUTURE
4    , A CHIP OFF THE OLD BLOCK AND TACKLE
5    , A CHIP OFF THE OLD BLOCK PARTY
6    , A CHRISTMAS STORY FOR THE AGES
7    , A CURE FOR THE COMMON COLD CUTS
8    , A CUT ABOVE THE REST IS HISTORY
9    , A DREAM COME TRUE DETECTIVE
10   , A GLASS OF WATER BUFFALO
11   , A HARD ACT TO FOLLOW THE LEADER
12   , A HOLE IN ONE-WAY TICKET
13   , A HOUSE IS NOT A HOME ON THE RANGE
14   , A LONG SHOT IN THE DARK
15   , A MAN ON A MISSION STATEMENT
16   , A NO-WIN SITUATION COMEDY
17   , A NOSE FOR NEWS DIRECTOR
18   , A QUICK BITE TO EAT MY WORDS
19   , A RED-LETTER DAY BY DAY
20   , A SHEEPISH GRIN AND BEAR IT
21   , A SHINY NEW PENNY MARSHALL
22   , A TRIP TO BOSTON BAKED BEANS
23   , A TRIP TO BOSTON CREAM PIE
24   , A VISIT TO THE PET SHOP BOYS
25   , A- NO WIN SITUATION COMEDY
26   , ABRAHAM LINCOLN NEBRASKA
27   , ABRAHAM LINCOLN TUNNEL
28   , ABSENT WITHOUT LEAVE IT TO BEAVER
29   , ABSOLUTE TRUTH IS STRANGER THAN FICTION
30   , ACCEPT THE FACT OR FICTION
31   , ACCEPT THE FACT OR FICTION?
32   , ACHIEVABLE GOAL LINE
33   , ACID TEST TUBE
34   , ACT YOUR AGE BEFORE BEAUTY
35   , ACT YOUR AGE OF INNOCENCE
36   , ACTIVE DUTY CALLS
37   , ACTIVE MILITARY MUSEUM
38   , ADAM'S APPLE OF MY EYE
39   , ADAM'S APPLE PIE
40   , ADAM'S APPLE PIE A LA MODE
41   , ADAM'S APPLE TURNOVER
42   , ADD FUEL TO THE FIRE EXTINGUISHER
43   , AGATHA CHRISTIE BRINKLEY
44   , AGELESS BEAUTY MARK
45   , AIMING HIGH CHEEKBONES
46   , AIR FORCE ONE IN A MILLION
47   , AIR SPACE STATION
48   , AIRPORT BAR OF SOAP
49   , AIRPORT RUNWAY MODEL
50   , AL GREEN BAY
51   , AL GREEN ONION
52   , AL GREEN TURTLE
53   , ALAN JACKSON HOLE WYOMING
54   , ALEXANDER GRAHAM BELL RINGER
55   , ALEXANDER THE GREAT BALLS OF FIRE
56   , ALEXANDER THE GREAT BRITAIN
57   , ALEXANDER THE GREAT DANE
58   , ALEXANDER THE GREAT MINDS THINK ALIKE
59   , ALEXANDER THE GREAT SMOKY MOUNTAINS
60   , ALL FOR ONE AND ONE FOR ALL IN THE FAMILY
61   , ALL HANDS ON DECK CHAIRS
62   , ALL RISE FOR THE QUEEN BEE
63   , ALL ROADS LEAD TO ROME WASN'T BUILT IN A DAY
64   , ALL SALES ARE FINAL EXAM
65   , ALL THE TIME ZONE
66   , ALL THE WORLD'S A STAGE FRIGHT
67   , ALL THE WORLDS A STAGE FRIGHT
68   , ALMOND JOY BEHAR
69   , ALMOND JOY TO THE WORLD
70   , ALTON BROWN-AND-SERVE ROLLS
71   , AMAZING BOOKSTORES
72   , AMAZING TRICK KNEE
73   , AMAZON JUNGLE GYM
74   , AMERICA THE BEAUTIFUL MODEL
75   , AMERICA'S NEXT TOP MODEL TRAIN SET
76   , AMERICAL BUFFALO WINGS
77   , AMERICAN BUFFALO WINGS
78   , AMERICAN EXPRESS YOURSELF
79   , AMERICAN GRAFFITI ARTIST
80   , AMERICAN PIE PLATE
81   , AMERICAN PIE TIN
82   , AMERICAN RED CROSS YOUR HEART
83   , AMUSEMENT PARK RANGER
84   , AMY GRANT PERMISSION
85   , AN AMERICAN WEREWOLF IN LONDON CALLING
86   , ANCIENT STONE TEMPLE PILOTS
87   , ANCIENT TIMES SQUARE
88   , ANDREW DICE CLAY AIKEN
89   , ANDREW JACKSON HOLE WYOMING
90   , ANY GIVEN SUNDAY DRIVER
91   , APARTMENT COMPLEX CARBOHYDRATES
92   , APOCALYPSE NOW AND AGAIN
93   , ARE YOU READY CASH
94   , ARTICHOKE HEART OF DARKNESS
95   , ARTICHOKE HEART OF THE MATTER
96   , ARTICHOKE HEART SURGEON
97   , ARTIST'S BOARD OF DIRECTORS
98   , ASSUME IDENTITY CRISIS
99   , ASSUMED IDENTITY CRISIS
100  , ATHLETE'S FOOT SOLDIER
101  , ATOMIC MASS AUDIENCE
102  , AUDIO CLIP ART
103  , AUTHORIZED SIGNATURE SONG
