id , phrase
1    , A DAMSEL IN DISTRESS
2    , A GIANT ROBOT
3    , A HOWLING WEREWOLF
4    , A KNIGHT IN SHINING ARMOR
5    , A PHANTOM HOLDING A SICKLE
6    , A VAMPIRE FREAKING OUT AT A RAY OF SUNLIGHT
7    , ABOMINABLE SNOWMAN
8    , ACE VENTURA
9    , ACHILLES
10   , AGAMEMNON
11   , AGENT SMITH
12   , ALADDIN
13   , ALCHEMIST
14   , ALEX CROSS
15   , ALIEN CREATURES
16   , ALLISON POND
17   , ALVIN & THE CHIPMUNKS
18   , ALVIN AND THE CHIPMUNKS
19   , AMANDA WALLER
20   , AMAZING SHAPESHIFTERS
21   , AMELIA BEDELIA
22   , AMY FARRAH FOWLER
23   , AMY POEHLER AS JOY
24   , ANCIENT GREEK GODS
25   , ANDROMEDA
26   , ANDY CAPP
27   , ANGELA BENNETT
28   , ANGELICA PICKLES
29   , ANNA SCOTT
30   , ANNIE SAVOY & RAY KINSELLA
31   , ANNIE SAVOY AND RAY KINSELLA
32   , ANT-MAN
33   , APHRODITE
34   , APHRODITE & ADONIS
35   , APHRODITE GODDESS OF LOVE
36   , APHRODITE GODDESS OF LOVE AND BEAUTY
37   , APHRODITE GODDESS OF THE LOVE & BEAUTY
38   , APHRODITE THE GODDESS OF LOVE & BEAUTY
39   , APOLLO
40   , APOLLO & CASSANDRA
41   , APOLLO GOD OF MUSIC
42   , APOLLO THE GOD OF SUN
43   , APOLLO THE GOD OF THE SUN
44   , AQUAMAN
45   , ARAGORN
46   , ARCHIE & JUGHEAD
47   , ARCHIE JUGHEAD BETTY & VERONICA
48   , ARTEMIS
49   , ARTEMIS THE GODDESS
50   , ARTHUR FONZARELLI
51   , ASGARDIANS
52   , ATHENA THE GODDESS OF WISDOM
53   , ATOMIC SKULL
54   , AUSTIN POWERS
55   , BABAR
56   , BABY LUMA
57   , BACCHUS & ARIADNE
58   , BALDER & ODIN
59   , BAMBI
60   , BARNEY AND BETTY RUBBLE
61   , BARNEY RUBBLE
62   , BARNEY THE PURPLE DINOSAUR
63   , BARON HELM
64   , BARON HELMUT ZEMO
65   , BART & LISA SIMPSON
66   , BART SIMPSON
67   , BARTENDER ISAAC WASHINGTON
68   , BATMAN
69   , BATMAN & ROBIN
70   , BATMAN AND ROBIN
71   , BATMAN VILLAIN SCARECROW
72   , BATWOMAN
73   , BAZOOKA JOE
74   , BEAUTIFUL HEROINE
75   , BEAUTIFUL PRINCESS
76   , BEAUTIFUL PRINCESSES & HANDSOME PRINCES
77   , BEAUTIFUL PRINCESSES AND HANDSOME PRINCES
78   , BEAVER CLEAVER
79   , BECKY THATCHER
80   , BELLA & EDWARD
81   , BEN GRIMM
82   , BEN REILLY
83   , BEOWULF
84   , BERT & ERNIE
85   , BETTY & BARNEY RUBBLE
86   , BETTY BOOP
87   , BETTY ROSS
88   , BETTY RUBBLE
89   , BEVERLY GOLDBERG
90   , BIG BAD WOLF
91   , BIG BIRD
92   , BIG BIRD BERT & ERNIE
93   , BIG NATE
94   , BILBO BAGGINS
95   , BIRDO & PAULINE
96   , BISCUIT THE DOG
97   , BIZARRO & BLACK ADAM
98   , BIZARRO AND BLACK ADAM
99   , BLACK BEAUTY
100  , BLACK BELT
101  , BLACK BOLT
102  , BLACK CAT
103  , BLACK KNIGHT
104  , BLACK PANTHER
105  , BLACK WIDOW
106  , BLACK ZERO & BRAINIAC
107  , BLACKJACK
108  , BLAKE CARRINGTON
109  , BLANCHE DUBOIS
110  , BLOSSOM BUBBLES & BUTTERCUP
111  , BLUE DRAGON VIDEO GAMES
112  , BO & LUKE DUKE
113  , BOB CRATCHIT
114  , BOOGIEMAN
115  , BORIS AND NATASHA
116  , BORIS BADENOV & NATASHA FATALE
117  , BOZO THE CLOWN
118  , BRAVE RESCUERS
119  , BROM BONES
120  , BROTHER & SISTER BART & LISA SIMPSON
121  , BRUCE WAYNE
122  , BRUCE WAYNE'S ALTER EGO BATMAN
123  , BUCKY BARNES
124  , BUGS BUNNY
125  , BULLDOG DRUMMOND
126  , BUSKERS
127  , BUZZ LIGHTYEAR
128  , CABLE & STRYFE
129  , CALLIOPE THE MUSE
130  , CALVIN & HOBBES
131  , CALYPSO
132  , CAMILLA THE CHICKEN
133  , CAPED CRUSADER
134  , CAPED CRUSADERS
135  , CAPTAIN BRITAIN
136  , CAPTAIN CAVEMAN
137  , CAPTAIN HOOK
138  , CAPTAIN JACK SPARROW
139  , CAPTAIN JAMES T KIRK
140  , CAPTAIN JEAN-LUC PICARD
141  , CAPTAIN KATHRYN JANEWAY
142  , CAPTAIN MARVEL
143  , CAPTAIN MERRILL STUBING
144  , CARE BEARS
145  , CAROL DANVERS
146  , CARRIE & BIG
147  , CARRIE BRADSHAW
148  , CARRIE MIRANDA SAMANTHA & CHARLOTTE
149  , CASSIOPEIA
150  , CASTOR & POLLUX
151  , CATWOMAN
152  , CATWOMAN & THE PENGUIN
153  , CATWOMAN AND THE PENGUIN
154  , CAVEWOMAN
155  , CENTAUR
156  , CENTAURS & NYMPHS
157  , CERBERUS THE THREE-HEADED DOG
158  , CERSEI LANNISTER
159  , CHANDLER & PHOEBE
160  , CHARISMATIC CREATURES
161  , CHARLIE BROWN & SNOOPY
162  , CHARLIE BROWN SNOOPY & WOODSTOCK
163  , CHARLOTTE YORK
164  , CHESHIRE CAT
165  , CHEWBACCA
166  , CHICKEN LITTLE
167  , CHIEF ANTAGONIST
168  , CHINESE CHECKERS
169  , CHIP & DALE
170  , CHRIS & LIAM HEMSWORTH
171  , CINDERELLA
172  , CINDERELLA & HER FAIRY GODMOTHER
173  , CINDERELLA & PRINCE CHARMING
174  , CINDERELLA AND PRINCE CHARMING
175  , CINDY LOU WHO
176  , CLAIRE DUNPHY
177  , CLARK KENT
178  , CLARK KENT & LOIS LANE
179  , CLAYFACE
180  , CLEVELAND BROWN
181  , CLIFFORD THE BIG RED DOG
182  , COLOSSUS
183  , COMET & CUPID
184  , COMET CUPID DONNER & BLITZEN
185  , COMIC BOOK SUPERHERO
186  , COMIC SIDEKICK
187  , COMIC-BOOK SUPERHERO
188  , COMPASSIONATE VILLAIN
189  , CONAN THE BARBARIAN
190  , CONQUISTADOR
191  , COOKIE MONSTER
192  , COUNT DRACULA
193  , COUNTRY MOUSE & CITY MOUSE
194  , COUNTRY MOUSE AND CITY MOUSE
195  , CREATURES FROM OUTER SPACE
196  , CREEPY CREATURES
197  , CREEPY MUMMY
198  , CRONUS
199  , CRUISE DIRECTOR JULIE MCCOY
200  , CUPID
201  , CUPID THE GOD OF LOVE
202  , CURIOUS GEORGE
203  , CYCLOPS
204  , CYLON NUMBER SIX
205  , DADDY WARBUCKS
206  , DAFFY DUCK
207  , DAGGER
208  , DAME EDNA EVERAGE
209  , DAMSEL IN DISTRESS
210  , DANCING GOBLINS
211  , DANIEL PLAINVIEW
212  , DAREDEVIL
213  , DAREDEVIL VILLAIN BULLSEYE
214  , DAREDEVIL VILLIAN BULLSEYE
215  , DARIA MORGENDORFFER
216  , DARKWING DUCK
217  , DARRELL CARTRIP
218  , DARTH VADER
219  , DARTH VADER & LUKE SKYWALKER
220  , DASHER & DANCER
221  , DASHER DANCER PRANCER AND VIXEN
222  , DEITIES
223  , DEMETER & CERES
