id , phrase
1   , A BRISK JOG
2   , A DIP IN THE POOL
3   , A FAMILY GAME OF CHARADES
4   , A FRIENDLY GAME OF MARBLES
5   , A HAND OF BLACKJACK
6   , A ROUND OF LAWN BOWLING
7   , A ROUND OF MINIATURE GOLF
8   , A WORD SEARCH
9   , ABUNDANCE OF WATERSPORTS
10  , ACTION FIGURES
11  , ACTIVITY BOOK
12  , ADDITION AND SUBTRACTION
13  , ADVENTURE RACING
14  , ADVENTURESOME BOAT EXCURSIONS
15  , AEROBICS CLASS
16  , AFTERSCHOOL ACTIVITIES
17  , AIR HOCKEY
18  , ALL THAT JAZZ
19  , ALPHABET MAGNETS
20  , ALPHABETICAL & NUMERICAL ODER
21  , ALPINE SKIING & SNOWBOARDING
22  , ALPINE SNOWBOARDING
23  , AMUSEMENT PARK RIDES
24  , AMUSEMENT RIDES
25  , AMUSING JOKE
26  , AMUSING YARN
27  , AN AFTERNOON HIKING
28  , AN AFTERNOON OF HIKING
29  , AN AFTERNOON OF QUAD BIKING
30  , ANDERLECHT FAIR
31  , ANGRY BIRDS
32  , ANT ATTACK
33  , ARCADE TOKENS
34  , ARCHERY SHOOT
35  , ARM WRESTLING
36  , ARTS & CRAFTS FESTIVAL
37  , ARTS & CRAFTS PROJECTS
38  , ARTS-AND-CRAFTS FESTIVAL
39  , AUSTRALIAN RULES FOOTBALL
40  , AUTO RACING
41  , BABY DOLLS
42  , BACCARAT
43  , BACK-ROAD BICYCLING
44  , BACKGAMMON SET
45  , BACKYARD BALL GAME
46  , BACKYARD BASEBALL GAME
47  , BACKYARD SWING SET
48  , BADMINTON
49  , BALANCE BOARDS
50  , BALL & BUCKET TOSS
51  , BALLOON ANIMALS
52  , BALLOON RIDE
53  , BALLROOM DANCING
54  , BARN DANCE
55  , BASEBALL & SOFTBALL
56  , BASS FISHING
57  , BATON TWIRLING
58  , BATTLESHIP
59  , BATTLESHIP MODEL KIT
60  , BEACH TOYS
61  , BEACH VOLLEYBALL
62  , BEACH VOLLEYBALL TOURNAMENT
63  , BEANBAG TOSS
64  , BEANIE BABIES
65  , BEANIE BEANS
66  , BEER PONG
67  , BELLY DANCING
68  , BERZERK
69  , BETSY BETSY DOLL
70  , BETSY WETSY DOLL
71  , BIG WAVE SURFING
72  , BIG-TICKET ATTRACTIONS
73  , BIG-WAVE SURFING
74  , BIGGIE BOARDINGS
75  , BILLIARD BALLS
76  , BINGO
77  , BINGO BALLS
78  , BINGO NIGHT
79  , BINGO SET
80  , BIRTHDAY PARTY
81  , BLACKJACK
82  , BLIND MAN'S BLUFF
83  , BLOWING UP BALLOONS
84  , BLUE DRAGON
85  , BLUE DRAGON VIDEO GAMES
86  , BOARD GAME NIGHT
87  , BOARD GAMES
88  , BOARD-GAME NIGHT
89  , BOARDWALK AND PARK PLACE
90  , BOBBING FOR APPLES
91  , BODYSURFING
92  , BOOGIE BOARDING
93  , BOUNCE HOUSES
94  , BOUNCING ON A TRAMPOLINE
95  , BOWLING A PERFECT GAME
96  , BOWLING NIGHT
97  , BOWLING PINS
98  , BRAIN BENDER
99  , BREAK DANCING
100 , BROADWAY MUSICAL CHAIRS
101 , BUBBLE MACHINE
102 , BUILDING A DOLLHOUSE
103 , BUILDING A SAND SCULPTURE
104 , BUILDING A SANDCASTLE
105 , BUILDING A TREE HOUSE
106 , BUILDING SANDCASTLES
107 , BUMPER CARS
108 , BURPING CONTEST
109 , BUY A VOWEL
110 , CAKE DISH
111 , CANDLE MAKING
112 , CANDY LAND
113 , CANYONEERING
114 , CAR-SEAT TOYS
115 , CARD GAMES
116 , CARD TRICKS
117 , CARD-GAME NIGHT
118 , CARNIVAL ATTRACTIONS
119 , CARNIVAL OF BINCHE
120 , CARNIVAL RIDES
121 , CAROUSEL RIDE
122 , CARTWHEELS
123 , CAT'S CRADLE
124 , CATCHING A WAVE
125 , CATCHING SOME WAVES
126 , CATNIP TOYS
