id , phrase
1   , A BOTTLE OF DRY SHERRY
2   , A BOTTLE OF LIQUID SMOKE
3   , A CAN OF PIE FILLING
4   , A CAN OF TOMATO PUREE
5   , A CAN OF TOMATO SOUP
6   , A JAR OF MARASCHINO CHERRIES
7   , A JAR OF SPAGHETTI SAUCE
8   , A JAR OF WILD HONEY
9   , A NEW MIXER
10  , A PACKAGE OF BROWN GRAVY MIX
11  , A PAN OF HOT OIL
12  , A ROLL OF PAPER TOWELS
13  , A ROLL OF PARCHMENT PAPER
14  , A WELL-STOCKED PANTRY
15  , ABRASIVE PADS
16  , ADHESIVE SHELF LINERS
17  , AIRTIGHT CANISTERS
18  , ALL-IN-ONE APPLIANCE
19  , ALL-PURPOSE BAKING MIX
20  , ALL-PURPOSE FLOUR
21  , ALPHABET REFRIGERATOR MAGNET
22  , ALUMINUM CHEESE GRATER
23  , ALUMINUM FOIL
24  , ALUMINUM PIE PAN
25  , ANGEL FOOD CAKE MIX
26  , ANTIQUE SALT & PEPPER SHAKERS
27  , APP-CONNECTED COUNTERTOP APPLIANCE
28  , APPETIZER & DESSERT PLATES
29  , APPLE CIDER VINEGAR
30  , ARM & HAMMER BAKING SODA
31  , ASIAN KITCHEN
32  , AUTOMATIC COFFEE MACHINE
33  , AUTOMATIC DISHWASHER
34  , AUTOMATIC RICE COOKER
35  , BACKSPLASH
36  , BAKING GADGETS
37  , BAKING PAN
38  , BAKING POWDER
39  , BAKING SET
40  , BAKING SHEET
41  , BAKING SODA
42  , BAKING SODA & VINEGAR
43  , BAKING STONE
44  , BAKING SUPPLIES
45  , BAKING TINS
46  , BAMBOO FRUIT TRAY
47  , BAMBOO PLACE MAT
48  , BAMBOO-UTENSIL SET
49  , BAY LEAVES
50  , BLACK LAVA SALT
51  , BLENDERS & JUICERS
52  , BOARD GAMES
53  , BONE-CHINA CUP & SAUCER
54  , BOTTLE OPENER
55  , BOTTOM-FREEZER REFRIGERATOR
56  , BOWL OF ICE WATER
57  , BOWL OF ICING
58  , BREADBASKET
59  , BREADBOX
60  , BREAKFAST NOOK
61  , BUNDT CAKE PAN
62  , BUNT CAKE PAN
63  , BUTANE COOKING TORCH
64  , BUTCHER BLOCK
65  , BUTCHER KNIFE
66  , BUTTER CHURNER
67  , BUTTER DISH
68  , BUTTER KNIFE
69  , CAKE COOKBOOK
70  , CAKE DISH
71  , CAKE MIX
72  , CAKE STAND
73  , CAN OF BEEF BROTH
74  , CAN OPENER
75  , CANNED GOODS
76  , CAPPUCCINO MACHINE
77  , CARVING BOARD
78  , CASSEROLE DISH
79  , CAST IRON DUTCH OVEN
80  , CAST-IRON DUTCH OVEN
81  , CAST-IRON GARLIC ROASTER
82  , CAST-IRON WAFFLE IRON
83  , CERAMIC BAKING PAN
84  , CERAMIC BOWLS
85  , CERAMIC CANISTER SET
86  , CERAMIC CANISTERS
87  , CERAMIC CHOPSTICKS
88  , CERAMIC COFFEE MUG
89  , CERAMIC COOKIE JAR
90  , CERAMIC COOKWARE
91  , CERAMIC CROCK-POTS
92  , CERAMIC DRINKING MUG
93  , CERAMIC JAR
94  , CERAMIC MUG
95  , CERAMIC PIE PLATE
96  , CERAMIC PIE-PLATE
97  , CERAMIC PITCHER
98  , CERAMIC PUNCH BOWL
99  , CERAMIC SNACK BOWLS
100 , CERAMIC SPOON REST
101 , CERAMIC TASTING PLATES
102 , CERAMIC TEAKETTLE
103 , CERAMIC-CANISTER SET
104 , CEREAL SPOON
105 , CHAFING DISH
106 , CHAMPAGNE FLUTES
107 , CHECKERED TABLECLOTH
108 , CHEESE GRATER
109 , CHEESECLOTH
110 , CHILLED GLASS
