id, phrase
1    , A BELLHOP WEARING A FEZ
2    , A COMEDIAN GETTING HUGE LAUGHS
3    , A COMEDY TEAM'S STRAIGHT MAN
4    , A CUT ABOVE
5    , A FAMOUS MOVIE CRITIC
6    , A FRIEND OF A FRIEND
7    , A GOOD LISTENER
8    , A GOOD SPORT
9    , A MAN OF GREAT CHARACTER
10   , A MAN OF MANY TALENTS
11   , A MEMBER IN GOOD STANDING
12   , A MILLIONAIRE MANY TIMES OVER
13   , A REAL CROWD-PLEASER
14   , A SOURCE WHO ASKED NOT TO BE IDENTIFIED
15   , A SPECIAL SOMEONE
16   , A WORLD TRAVELER
17   , A WORTHY OPPONENT
18   , ABLE SEAMAN
19   , ABSTRACT EXPRESSIONIST
20   , ACADEMY AWARDS HOST
21   , ACCLAIMED ACTOR
22   , ACCLAIMED ACTRESS
23   , ACCLAIMED FILM DIRECTOR
24   , ACCLAIMED FILMMAKER
25   , ACCOMPLISHED PUBLIC SPEAKER
26   , ACCORDION PLAYER
27   , ACCORDIONIST
28   , ACTING MAYOR
29   , ACTING SHERIFF
30   , ACTIVE BICYCLIST
31   , ADOLESCENT CLOWNING AROUND
32   , ADORABLE BABY
33   , ADVANCED BEGINNER
34   , ADVENTUROUS GIRL
35   , ADVENTUROUS INDIVIDUAL
36   , ADVENTUROUS NOMAD
37   , ADVENTUROUS SNOWSHOER
38   , ADVENTUROUS TRAVELER
39   , ADVISORY BOARD
40   , AFFIDAVIT
41   , AIRMAN FIRST CLASS
42   , ALBERT EINSTEIN
43   , ALGEBRA PROFESSOR
44   , ALL-AROUND NICE GUY
45   , ALL-AROUND OUTDOORSMAN
46   , ALL-TIME FAVORITE ACTOR
47   , ALPHA MALE
48   , AMAL CLOONEY
49   , AMATEUR DETECTIVE
50   , AMATEUR MAGICIAN
51   , AMATEUR POKER PLAYER
52   , AMATEUR RADIO OPERATOR
53   , AMATEUR SHUTTERBUG
54   , AMATEUR SLEUTH
55   , AMATEUR SWIMMERS
56   , AMAZING ATHLETE
57   , AMAZING INTERIOR DESIGNER
58   , AMAZING INVENTOR
59   , AMAZING MAN
60   , AMAZING PLAYWRIGHT
61   , AMAZING SINGER
62   , AMAZING WOMAN
63   , AMBULANCE CHASER
64   , AMERICA'S SWEETHEART
65   , AMERICAN AUTOMAKERS
66   , AMERICAN SOLDIER
67   , AN ACQUAINTANCE OF MINE
68   , AN INDEPENDENT WOMAN
69   , AN OLD ACQUAINTANCE
70   , AN OLD GRUMP
71   , AN OLD PRO
72   , ANCIENT GREEK
73   , ANCIENT MONKS
74   , ANCIENT MYSTIC
75   , ANIMAL RIGHTS ACTIVIST
76   , ANIMAL-RIGHTS ACTIVIST
77   , ANONYMOUS CALLER
78   , ANONYMOUS DONOR
79   , ANONYMOUS INFORMANT
80   , ANTIQUE DEALER
81   , ANXIOUS PATIENT
82   , APPOINTED LAWYER
83   , APPRENTICE
84   , ARBORIST
85   , ARCHENEMY
