id, phrase
1    , A FLOCK OF SEAGULLS
2    , AARON BURR
3    , AARON PAUL
4    , AARON RODGERS
5    , ABBA
6    , ABOLITIONIST FREDERICK DOUGLASS
7    , ABRAHAM & MOSES
8    , ABRAHAM LINCOLN
9    , AC SHELBY COBRA
10   , ACADEMY AWARD WINNER JANE FONDA
11   , ACADEMY OF MOTION PICTURE ARTS & SCIENCES
12   , ACER LAPTOP COMPUTER
13   , ACTIVIST RALPH NADER
14   , ACTOR & DIRECTOR CLINT EASTWOOD
15   , ACTOR CRAIG T NELSON
16   , ACTOR ERIC BANA
17   , ACTOR JAMES GANDOLFINI
18   , ACTOR JEREMY SISTO
19   , ACTOR JON HEDER
20   , ACTOR MATHEW ST PATRICK
21   , ACTOR MICHAEL BOATMAN
22   , ACTOR MICHAEL GAMBON
23   , ACTOR ORLANDO BLOOM
24   , ACTOR PATRICK WARBURTON
25   , ACTOR PHILIP SEYMOUR HOFFMAN
26   , ACTOR ROSS LYNCH
27   , ACTOR TERENCE HILL
28   , ACTORS STUDIO WEST
29   , ACTRESS & MODEL CYNTHIA GIBB
30   , ACTRESS ANGELA BASSETT
31   , ACTRESS DEBRA WINGER
32   , ACTRESS EVA GREEN
33   , ACTRESS GLENN CLOSE
34   , ACTRESS JODIE FOSTER
35   , ACTRESS KRISTEN SCHAAL
36   , ACTRESS LAUREN TAYLOR
37   , ACTRESS MARISKA HARGITAY
38   , ACTRESS MAUREEN O'HARA
39   , ADAM & EVE
40   , ADAM BRODY
41   , ADAM DRIVER
42   , ADAM LAMBERT
43   , ADAM SANDLER
44   , ADMIRAL WILLIAM PENN
45   , ADRIAN PETERSON
46   , AEROSMITH
47   , AGATHA CHRISTIE
48   , AIR CANADA
49   , AIR FRANCE
50   , AIR NEW ZEALAND
51   , AIRMAN FIRST CLASS
52   , AJAX POWDER WITH CLEANSING BLEACH
53   , AL GORE
54   , AL GREEN
55   , AL PACINO
56   , AL ROKER
57   , ALABAMA CRIMSON TIDE
58   , ALABAMA SHAKES
59   , ALAN JACKSON
60   , ALBERT BROOKS
61   , ALBERT CLAUDE
62   , ALBERT EINSTEIN
63   , ALEC BALDWIN
64   , ALEXANDER GRAHAM BELL
65   , ALEXANDER HAMILTON
66   , ALEXANDRE DUMAS
67   , ALEXANDRE O'NEILL
68   , ALFRED MORRIS
69   , ALFRED THE GREAT
70   , ALICIA KEYS
71   , ALICIA SILVERSTONE
72   , ALISON KRAUSS
73   , ALLEGRA-D
74   , ALLISON WILLIAMS
75   , AMAL CLOONEY
76   , AMANDA BEARD
77   , AMANDA BYNES
78   , AMAZONCOM
79   , AMERICA FERRERA
80   , AMERICAN AIRLINES
81   , AMERICAN AUTOMOBILE ASSOCIATION
82   , AMERICAN BAR ASSOCIATION
83   , AMERICAN CANOE ASSOCIATION
84   , AMERICAN DENTAL ASSOCIATION
85   , AMERICAN EXPRESS & DISCOVER
86   , AMERICAN FARMERS ASSOCIATION
87   , AMERICAN FILM INSTITUTE
88   , AMERICAN FOOTBALL CONFERENCE
89   , AMERICAN FRONTIERSMAN DANIEL BOONE
90   , AMERICAN GUITAR ACADEMY
91   , AMERICAN IDOL HOST RYAN SEACREST
92   , AMERICAN IDOL JUDGE STEVEN TYLOR
93   , AMERICAN MUSIC AWARDS
94   , AMERICAN RED CROSS
95   , AMERICAN STOCK EXCHANGE
96   , AMERIGO VESPUCCI
97   , AMY ADAMS
98   , AMY GRANT
99   , AMY MACDONALD
100  , ANAHEIM DUCKS
101  , ANDREA BOCELLI
102  , ANDREW DICE CLAY
103  , ANDREW JACKSON
104  , ANDREW JOHNSON
105  , ANDREW LLOYD WEBBER
106  , ANDROMEDA GALAXY
107  , ANDY RODDICK
108  , ANDY SAMBERG
109  , ANGELA LANSBURY
110  , ANGELINA JOLIE
111  , ANIMAL KINGDOM
112  , ANIMAL PLANET
113  , ANIMAL PLANT
114  , ANIMATOR CRAIG BARTLETT
115  , ANIMATOR TREY PARKER
