id, phrase
1   , A FRIEND TO THE END
2   , A LOCKET IN YOUR POCKET
3   , A SNAIL AND A WHALE
4   , AFTER DARK
5   , ALONG CAME A SPIDER AND SAT DOWN BESIDE HER
6   , AN ATTITUDE OF GRATITUDE
7   , AN OLDIE BUT A GOODIE
8   , ANTS IN YOUR PANTS
9   , APRIL SHOWERS BRING MAY FLOWERS
10  , AS SNUG AS A BUG IN A RUG
11  , BACK ON TRACK
12  , BE THERE OR BE SQUARE
13  , BEAT FEET
14  , BEAT THE HEAT
15  , BEAVERS AND RETRIEVERS
16  , BEST OF THE REST
17  , BIG RIG
18  , BOOB TUBE
19  , BOOK NOOK
20  , BOW-WOW
21  , BRAZIL REAL
22  , BRIGHT LIGHT
23  , BURRITOS WITH FRITOS
24  , BY HOOK OR BY CROOK
25  , CHEAT SHEET
26  , CHEERS AND JEERS
27  , CHICK FLICK
28  , CHICKEN WINGS & ONION RINGS
29  , CHILL BILL
30  , CHIP CLIP
31  , CHIP-CLIP
32  , CHRISTMAS MISSES
33  , CHUCK AND BUCK
34  , CHUCK AND DUCK
35  , CLAIM TO FAME
36  , CREATURE FEATURE
37  , DARE TO PREPARE
38  , DELICIOUS AND NUTRITIOUS
39  , DITCH WITCH
40  , DO YOU POSSESS A FANCY HEADDRESS?
41  , DOUBLE TROUBLE
42  , DRESS FOR SUCCESS
43  , EVEN STEVEN
44  , EVEN- STEVEN
45  , EVEN-STEVEN
46  , FAKE IT TILL YOU MAKE IT
47  , FAT CAT
48  , FENDER BENDER
49  , FIGHT NIGHT
50  , FINE WINE
51  , FLAVOR SAVER
52  , FLOWER POWER
53  , FROM MILD TO WILD
54  , FUN IN THE SUN
55  , FUN RUN
56  , FUNNY MONEY
57  , GAL PAL
58  , GEORGIE PORGIE
59  , GO ASHORE AND EXPLORE
60  , GO WITH THE FLOW
61  , GOOD GOLLY MISS MOLLY
62  , GOOD NIGHT SLEEP TIGHT
63  , GOOD NIGHT YOU GAVE ME SUCH A FRIGHT
64  , GOOF-PROOF
65  , GRANNY NANNY
66  , GREEN BEAN
67  , GROUND ROUND
68  , GRUESOME TWOSOME
69  , HANKY- PANKY
70  , HEART- SMART
71  , HEART-SMART
72  , HENNY PENNY
73  , HERE AND THERE
74  , HEY DIDDLE DIDDLE THE CAT AND THE FIDDLE
75  , HIGHWAYS & BYWAYS
