id, phrase
1   , A MOVIE THE ENTIRE FAMILY CAN SEE
2   , A SIGHT GAG
3   , ABBOTT & COSTELLO MOVIES
4   , ACADEMY AWARD NOMINATION
5   , ACADEMY AWARD NOMINEE
6   , ACADEMY AWARDS
7   , ACTING LESSONS
8   , ACTION- PACKED DRAMA
9   , ACTION-ADVENTURE MOVIES
10  , ACTION-ADVENTURE SERIES
11  , ACTION-PACKED DRAMA
12  , ACTION-PACKED MOVIE
13  , AISHA TYLER STARS IN ARCHER
14  , AL PACINO STARS IN DOG DAY AFTERNOON
15  , AL PACINO STARS IN SCARFACE
16  , AL PACINO STARS IN THE GODFATHER
17  , AL PACINO STARS IN THE RECRUIT
18  , ALBERT BROOKS STARS IN THE SCOUT
19  , ALFRED HITCHCOCK'S PSYCHO
20  , ALPINE NEW WAVE
21  , AMAZING IMPRESSIONISTS
22  , AMAZING SHOW
23  , AMAZING SOUND EFFECTS
24  , AMERICAN IDOL JUDGES
25  , AMY POEHLER STARS IN SISTERS
26  , AND THE AWARD GOES TO
27  , ANIMATED MOVIE
28  , ANIMATED MOVIES
29  , ANIMATED SERIES
30  , ANNA KENDRICK STARS IN PITCH PERFECT
31  , ANNE BANCROFT STARS IN THE GRADUATE
32  , ANNE HATHAWAY STARS IN THE DEVIL WEARS PRADA
33  , ANTHONY HOPKINS STARS IN WESTWORLD
34  , ASPIRING COMEDIANS
35  , AUDIENCE-PARTICIPATION SHOW
36  , AUDITION
37  , AUDITIONING FOR A MOVIE PART
38  , AUDREY HEPBURN STARS IN FUNNY FACE
39  , AUDREY HEPBURN STARS IN MY FAIR LADY
40  , AUDREY HEPBURN STARS IN ROMAN HOLIDAY
41  , AUDREY HEPBURN STARS IN ROMANCE HOLIDAY
42  , AVAILABLE ON VHS AND DVD
43  , AWARD WINNING MOVIE
44  , AWARD-WINNING FILMMAKER
45  , AWARD-WINNING MOVIE
46  , AWARD-WINNING SCREENPLAY
47  , AWESOME MOVIE TRAILER
48  , BACK TO MANHATTAN BY NORAH JONES
49  , BACKUP DANCERS
50  , BANJO PLAYER
51  , BEACH MOVIES
52  , BELOVED GAME SHOW
53  , BEST MOVIE OF THE YEAR
54  , BEST PICTURE OSCAR
55  , BEST REVIVAL OF A PLAY
56  , BEST- SELLING ALBUM
57  , BEST-ACTOR ACCEPTANCE SPEECH
58  , BEST-ACTRESS ACCEPTANCE SPEECH
59  , BEST-DRESSED LIST
60  , BEST-DRESSED STARS
61  , BEST-PICTURE WINNER
62  , BETTE DAVIS MOVIES
63  , BIG THEATER PRODUCTION
64  , BIG THEATRE PRODUCTION
65  , BIG-BUDGET BLOCKBUSTER
66  , BIG-SCREEN DEBUT
