id, phrase
1   , A BEND IN THE RIVER
2   , A BUG'S LIFE
3   , A CHARLIE BROWN THANKSGIVING
4   , A CHORUS LINE
5   , A CHRISTMAS CAROL
6   , A CLASH OF KINGS
7   , A CLOCKWORK ORANGE
8   , A DANCE WITH DRAGONS
9   , A FRIEND OF THE EARTH
10  , A GREAT BUY
11  , A LITTLE LIFE
12  , A MATTER OF GRAVITY
13  , A MIDSUMMER NIGHT'S DREAM
14  , A NICE HOT SHOWER
15  , A PASSAGE TO INDIA
16  , A PAT ON THE BACK
17  , A SONG OF ICE AND FIRE
18  , A SPOOL OF BLUE THREAD
19  , A THOUSAND SPLENDID SUNS
20  , A TIME APART
21  , A TREE GROWS IN BROOKLYN
22  , A VISIT FROM ST NICHOLAS
23  , A WILD SHEEP CHASE
24  , AARP MAGAZINE
25  , ABC SONG
26  , ACHIEVEMENT IN EXCELLENCE
27  , AIRLINE HIGHWAY
28  , ALADDIN
29  , ALADDIN AND THE WONDERFUL LAMP
30  , ALBUM OF THE YEAR
31  , ALICE'S ADVENTURES IN WONDERLAND
32  , ALL QUIET ON THE WESTERN FRONT
33  , ALL THAT JAZZ
34  , ALL THE BIRDS IN THE SKY
35  , ALL'S WELL THAT ENDS WELL
36  , AMAZING SPRING DAY
37  , AMERICAN TRADITIONS
38  , AMERICAS GOT TALENT
39  , AMERICAS NEXT TOP MODEL
40  , ANGEL OF THE CITADEL
41  , ANGRY BIRDS: KNOCK ON WOOD GAME
42  , ANIMAL FARM
43  , ANNE OF GREEN GABLES
44  , APPIAN WAY
45  , APPLES TO APPLES
46  , ARTICLES OF ASSOCIATION
47  , ARTICLES OF CONFEDERATION
48  , AS YOU LIKE IT
49  , AVENUE Q
50  , BALTIMORE BLUES
51  , BANQUET TABLE
52  , BAREFOOT IN THE PARK
53  , BARTLETT'S FAMILIAR QUOTATIONS
54  , BASS FIDDLE
55  , BASS VIOLIN
56  , BATTLE OF THE SEXES
57  , BAY OF SIGHS
58  , BEACH BLANKET BABYLON
59  , BEASTS OF NO NATION
60  , BEAUTIFUL: THE CAROLE KING MUSICAL
61  , BEAUTY & THE BEAST
62  , BEAUTY AND THE BEAST
63  , BEEZUS AND RAMONA
64  , BELLS ARE RINGING
65  , BENCHMARK
66  , BEST ACTOR IN A LEADING ROLE
67  , BEST ACTOR IN A SUPPORTING ROLE
68  , BEST ACTRESS IN A LEADING ROLE
69  , BEST ADAPTED SCREENPLAY
70  , BEST ANIMATED FEATURE
71  , BEST ANIMATED SHORT FILM
72  , BEST BEHAVIOUR
73  , BEST COSTUME DESIGN
74  , BEST DIRECTOR
75  , BEST DRESSED MAN
76  , BEST ORIGINAL SCREENPLAY
77  , BEST ORIGINAL SONG
78  , BEST-DRESSED MAN
79  , BETRAYAL AT HOUSE ON THE HILL
80  , BETTER HOMES AND GARDENS
81  , BETWEEN THE WORLD AND ME
82  , BIG WAVES
83  , BILL OF RIGHTS
84  , BIRTHSTONE RING
85  , BLUE BLOODS
86  , BLUE HIGHWAYS
87  , BLUE STREAK
88  , BLUE VELVET
89  , BOSTON HERALD
90  , BRAVE NEW WORLD
91  , BREAD AND JAM FOR FRANCIS
92  , BREAKFAST AT TIFFANYS
93  , BRIDESHEAD REVISITED
94  , BRIGHT YELLOW SUNSHINE
95  , BRIGHTY OF THE GRAND CANYON
96  , BROWN BEAR BROWN BEAR WHAT DO YOU SEE?
97  , BROWN V BOARD OF EDUCATION
98  , BUDGET TRAVEL MAGAZINE
99  , BUFFALO BILL'S WILD WEST SHOW
100 , BUFFERS & POLISHERS
101 , BUFFY THE VAMPIRE SLAYER
102 , BUSH MEDICINE
103 , BUSINESS PARTNERS
104 , BYE BYE BIRDIE
105 , CAKETASTROPHE
106 , CAMELOT
107 , CAN'T FOOL ME!
108 , CANE RIVER
109 , CARD SHUFFLER
110 , CARDIGANS & PULLOVERS
111 , CATCH ME IF YOU CAN
112 , CATWALK
113 , CBS NEWS SUNDAY MORNING
114 , CHARLOTTE'S WEB
115 , CHEEKY GRIN
116 , CHICAGO SUN TIMES
117 , CHILDREN'S CRAFTS
118 , CINDERELLA
119 , CLARK THE SHARK
120 , CLEAR DESCRIPTION
121 , CODE TO ZERO
122 , COLLECTION OF MYTHS
123 , COMIC BOOKS
124 , COMMANDER IN CHIEF
125 , CONSUMER REPORTS
126 , COOK'S ILLUSTRATED
127 , COSMOPOLITAN
128 , CRACKED SIDEWALK
129 , DA VINCI'S THE LAST SUPPER
130 , DAMN YANKEES
131 , DANCING WITH THE STARS: LIVE!
132 , DARK SIDE OF THE MOON
133 , DAUGHTER OF FORTUNE
134 , DECLARATION OF INDEPENDENCE
135 , DESCENT INTO LIMBO
136 , DEXTER
137 , DIDDLE DIDDLE DUMPLING
138 , DIDDLE DIDDLE DUMPLING THING
139 , DO RE MI
140 , DON'T SPILL THE BEANS
141 , DOWNTON ABBEY
142 , DOWNTOWN ABBEY
143 , DR SEUSS' HORTON HEARS A WHO!
144 , DRAGONS LOVE TACOS
145 , DREAMGIRLS
146 , EAT PRAY LOVE
147 , ELLE MAGAZINE
148 , EMANCIPATION PROCLAMATION
149 , ENJOYING SOME FUN IN THE SUN
150 , ENTERTAINMENT TONIGHT
151 , ENTERTAINMENT WEEKLY
152 , EVITA
153 , EXCITING THOUGHT
154 , FACEMASK
155 , FAMILY GUY
156 , FANCY DRESS SHOES
157 , FANTASTIC MR FOX
158 , FANTASTIC MR FOX
159 , FARMERS' ALMANAC
160 , FASHION INSIDERS
161 , FAST COMPANY
162 , FAST FOOD NATION
163 , FAT ALBERT AND THE COSBY KIDS
164 , FEARLESS FOURTEEN
165 , FEMALE VOCALIST OF THE YEAR
166 , FIDDLER ON THE ROOF
167 , FILM STUDIES
168 , FINDING NEVERLAND
169 , FIREMAN'S AXE
170 , FIRST CHOICE
171 , FLOOR-TO-CEILING VIEWS
172 , FLOWER DRUM SONG
173 , FLYING MAGAZINE
174 , FOLLOW THE RIVER
175 , FOR WHOM THE BELL TOLLS
176 , FORBIDDEN DESERT
177 , FORBIDDEN ISLAND
178 , FOUNDATION
179 , FREAKY FRIDAY
180 , FREEBIE AND THE BEAN
181 , FRENCH LESSONS
182 , FROG AND TOAD ARE FRIENDS
183 , FROM HERE TO ETERNITY
184 , FRONTLINE
185 , FUN HOME
186 , FUNNY SITUATION
187 , FUNNY STORIES
188 , FUTURAMA
189 , G IS FOR GUMSHOE
190 , GALLERY OF THE LOUVRE
191 , GAME INFORMER
192 , GAME OF THRONES
193 , GARDEN OF SHADOWS
194 , GATES OF FIRE
195 , GATOR BOYS
196 , GENERAL THEORY OF RELATIVITY
197 , GENTLEMAN'S QUARTERLY
198 , GETTYSBURG ADDRESS
199 , GIRL IN A BAND: A MEMOIR
200 , GIRL IN RED DRESS WITH CAT AND DOG
201 , GLOBE MAGAZINE
202 , GLOBE OF THE WORLD
203 , GO SET A WATCHMAN
204 , GOLDILOCKS & THE THREE BEARS
205 , GONE WITH THE WIND
206 , GOOD BREAKS
207 , GOOD HOUSEKEEPING
208 , GOODNIGHT MOON
209 , GOSSIP GIRL
210 , GREASE
211 , GREAT BIG HUG
212 , GREEN EGGS AND HAM
213 , GRIMM'S FAIRY TALES
214 , GROOVY TIME
215 , GUINNESS BOOK OF WORLD RECORDS
216 , GULLIVER'S TRAVELS
217 , GUYS AND DOLLS
218 , HAIRBRAINED SCHEME
219 , HAIRSPRAY
220 , HALF OF A YELLOW SUN
221 , HANNAH AND HER SISTERS
222 , HAPPY FEET
223 , HARD KNOCKS
224 , HAROLD AND THE PURPLE CRAYON
225 , HARPER'S MAGAZINE
226 , HARRY POTTER AND THE CHAMBER OF SECRETS
227 , HARRY POTTER AND THE GOBLET OF FIRE
228 , HARRY POTTER AND THE PRISONER OF AZKABAN
229 , HARRY POTTER AND THE SORCERER'S STONE
230 , HARRY POTTER COLORING BOOK
231 , HARRY POTTER COLOURING BOOK
232 , HBO'S INSIDE THE NFL
233 , HE SHED SHE SHED
234 , HEALTH AND HUMAN RIGHT JOURNAL
235 , HEALTH AND HUMAN RIGHTS JOURNAL
236 , HEART OF DARKNESS
237 , HEARTFELT THANKS
238 , HEDWIG AND THE ANGRY INCH
239 , HERE ON EARTH
240 , HGTV MAGAZINE
241 , HIGH FASHION
242 , HIGH SCHOOL MUSICAL
243 , HILL STREET BLUES
244 , HOME PROJECT
245 , HOMER'S THE ILIAD
246 , HONKY TONK SAMURAI
247 , HOT CROSS BUNS
248 , HOTELS OF NORTH AMERICA
249 , HOUSE OF LEAVES
250 , HOUSE ON HAUNTED HILL
251 , HOW TO TRAIN YOUR DRAGON
252 , HUMANITARIAN AWARD
253 , HUSH LITTLE BABY
254 , I AM NUMBER FOUR
255 , IF I RAN THE CIRCUS
256 , IF THERE BE THORNS
257 , IF YOU'RE NOT YET LIKE ME
258 , IN THE COUNTRY OF MEN
259 , INSIDE EDITION
260 , IT'S THE GREAT PUMPKIN CHARLIE BROWN
261 , JABBERWOCKY
262 , JACK AND THE BEANSTALK
263 , JAMES AND THE GIANT PEACH
264 , JASON AND THE GOLDEN FLEECE
265 , JERSEY BOYS
266 , JERSEY BOYS THE MUSICAL
267 , JOHNNY TREMAIN
268 , JOSIE AND THE PUSSYCATS
269 , JUNE MOON
270 , KALEIDOSCOPE HEARTS
271 , KELLEY BLUE BOOK
272 , KEY PLAY OF THE GAME
273 , KING OF THE HILL
274 , KINKY BOOTS
275 , KISS ME KATE
276 , KITCHEN CONFIDENTIAL
277 , KNEE-JERK REACTION
278 , LA CAGE AUX FOLLES
279 , LA CONFIDENTIAL
280 , LADIES' HOME JOURNAL
281 , LARA CROFT TOMB RAIDER
282 , LAS VEGAS REVIEW-JOURNAL
283 , LAUGH-OUT-LOUD JOKES FOR KIDS
284 , LEAD WEIGHT
285 , LEAN MEAN THIRTEEN
286 , LEGALLY BLONDE THE MUSICAL
287 , LEND ME A TENOR
288 , LES MISERABLES
289 , LESS THAN ZERO
290 , LET'S GO FISHIN' GAME
291 , LET'S WALK TO THE MIDDLE OF THE OCEAN
292 , LIE TO ME
293 , LIKE WATER FOR CHOCOLATE
294 , LILY'S PURPLE PLASTIC PURSE
295 , LITTLE BEAR
296 , LITTLE BLUE TRUCK'S HALLOWEEN
297 , LITTLE RED HEN
298 , LITTLE WOMEN
299 , LIVING IN THE USA
300 , LONESOME DOVE
301 , LOONEY TUNES
302 , LOS ANGELES TIMES
303 , LOST IN YONKERS
304 , LOVE IN A FALLEN CITY
305 , LOW-EMISSION VEHICLE
306 , LUCKY PEER
307 , LUNCH MENU
308 , MACBETH
309 , MADAME X
310 , MAGIFICENT VIEWS
311 , MAKE WAY FOR DUCKLINGS
312 , MALE VOCALIST OF THE YEAR
313 , MAMMA MIA!
314 , MAN OF LA MANCHA
315 , MANIFEST DESTINY
316 , MARIE CLAIRE
317 , MARTHA STEWART LIVING
318 , MARVEL UNIVERSE LIVE!
319 , MASTERPIECE THEATRE
320 , MATILDA
321 , MECHANICAL BULL
322 , MEMOIRS OF A GEISHA
323 , MEN'S HEALTH
324 , MERCHANT OF VENICE
325 , MESSAGE IN A BOTTLE
326 , MIGHTY MORPHIN POWER RANGERS
327 , MIKE & MIKE
