id , phrase
 1   , A PILE OF COATS
 2   , A PILE OF COATS ON THE BED
 3   , A SHELF FULL OF KNICKKNACKS
 4   , A SOCK WITH HOLES IN IT
 5   , A VASE FILLED WITH SUNFLOWERS
 6   , A VASE OF FLOWERS
 7   , A VASE OF FRESH CUT GARDEN FLOWERS
 8   , ACCENT CABINET
 9   , ACCENT FURNITURE
 10  , ADDRESS BOOK
 11  , ADDRESS LABELS
 12  , ADJUSTABLE SHOE RACK
 13  , AFGHAN RUG
 14  , AFTER-SHAVE LOTION
 15  , AIR FRESHENER
 16  , AIR MATTRESS
 17  , ALARM CLOCK
 18  , ALARM CLOCK WITH NATURE SOUNDS
 19  , ALL-PURPOSE CLEANERS
 20  , AMUSING YARN
 21  , AN AIR CONDITIONER RUNNING FULL BLAST
 22  , ANGLE BROOM WITH DUSTPAN
 23  , ANGORA SWEATER
 24  , ANIMAL-SHAPED LAMPS
 25  , ANNUAL SAILING WEEKEND EVENT
 26  , ANTI-WRINKLE CREAM
 27  , ANTIBACTERIAL HAND WIPES
 28  , ANTIPLAQUE MOUTHWASH
 29  , ANTIQUE BATHTUB
 30  , ANTIQUE DESK LAMP
 31  , ANTIQUE DINING TABLE
 32  , ANTIQUE FURNISHINGS
 33  , ANTIQUE JEWELRY BOX
 34  , ANTIQUE POLAROID CAMERA
 35  , ANTIQUE PORCELAIN VASE
 36  , ANTIQUE SEWING MACHINE
 37  , ANTIQUE TELEPHONE
 38  , APPLE CINNAMON CANDLE
 39  , APPOINTMENT BOOK
 40  , AREA RUGS
 41  , ARM & HAMMER SPINBRUSH
 42  , ARMCHAIR
 43  , ARMLESS CHAIR
 44  , AROUND THE HOUSE
 45  , ART DECO BEDROOM SET
 46  , ATTIC STAIRS
 47  , AUTOMATIC GARAGE DOOR OPENER
 48  , AUTOMATIC GARAGE-DOOR OPENER
 49  , AUTUMN BRANCH CENTERPIECE
 50  , AUTUMN-BRANCH CENTERPIECE
 51  , BABY OIL
 52  , BABY POWDER
 53  , BABY QUILT
 54  , BABY WIPES
 55  , BACKYARD BIRD FEEDER
 56  , BACKYARD FURNITURE
 57  , BACKYARD POOL
 58  , BAKER'S RACK WITH WINE STORAGE
 59  , BAKERS RACK WITH WINE STORAGE
 60  , BAKING SUPPLIES
 61  , BAMBOO COFFEE TABLE
 62  , BAMBOO DRAWER ORGANIZERS
 63  , BAMBOO PLACE MATS
 64  , BAMBOO SHOE RACK
 65  , BARBECUE GRILL
 66  , BARBECUE TONGS
 67  , BATH MAT
 68  , BATH PRODUCTS
 69  , BATH TOWELS
 70  , BATHMAT
 71  , BATHROOM CLEANER
 72  , BATHROOM CLEANER WITH BLEACH
 73  , BATHROOM FIXTURES
 74  , BATHROOM MIRROR
 75  , BATHROOM SCALE
 76  , BATHROOM SCALES
 77  , BATHROOM SOAP DISPENSER
 78  , BATHROOM WINDOW
 79  , BATHTUB
 80  , BATTERY CHARGER
 81  , BAY WINDOW
 82  , BEADED NAPKIN RINGS
 83  , BEANBAG CHAIR
 84  , BEANBAGS & LOUNGE CHAIRS
 85  , BEAUTIFUL BEDDING
 86  , BEAUTIFUL COFFEE-TABLE BOOK
 87  , BEAUTIFUL GLASS VASE
 88  , BED-IN-A-BAG
 89  , BEDDING & BATH
 90  , BEDSIDE LAMP
 91  , BEDSIDE TABLE
 92  , BERMUDA SHORTS
 93  , BETTY WHITE RICE BOWL
 94  , BEVELED MIRROR
 95  , BIG-SCREEN TELEVISION
 96  , BIODEGRADABLE CLEANERS
 97  , BIRDBATH
 98  , BLACK-AND WHITE FAMILY PHOTOGRAPH
 99  , BLACK-AND-WHITE FAMILY PHOTOGRAPH
 100 , BLANKETS AND COMFORTERS
 101 , BLOWN FUSE
 102 , BLUE GLASS CLEANER
 103 , BLUE JEANS
 104 , BLUE WINDOW CLEANER
 105 , BODY MIST
 106 , BODY SCRUB
 107 , BODY WASH
 108 , BOOKCASE HEADBOARD
 109 , BOOKENDS
 110 , BOOKING A FLIGHT
 111 , BOOKSHELF
 112 , BOTTLE OPENER
 113 , BOWL OF ICING
 114 , BOX OF OLD CLOTHES
 115 , BRAIDED PLACE MATS
 116 , BRAIDED RUG
 117 , BRAND NEW SOFA COVER
 118 , BRAND-NEW RED BICYCLE
 119 , BRAND-NEW SOFA COVER
 120 , BRASS BED
 121 , BRASS DOORKNOBS
 122 , BRASS DOORSTOP
 123 , BRASS FRUIT BASKET
 124 , BRASS SIDE TABLE
 125 , BRASS TABLE
 126 , BRIGHT LAMP
 127 , BRIGHT LIGHT BULBS
 128 , BRIGHTLY COLORED SUMMER WARDROBE
 129 , BROADBAND INTERNET CONNECTION
 130 , BRONZE TABLE LAMPS
 131 , BROOKS BROTHERS MEN'S SUIT
 132 , BROOM & DUSTPAN
 133 , BROOM AND DUSTPAN
 134 , BROOMS & DUSTPANS
 135 , BROW BRUSH
 136 , BROWN LEATHER LOVE SEAT
 137 , BRUSH AND COMB
 138 , BUBBLE BATH
 139 , BUILT-IN SHELVES
 140 , BUNK BEDS
 141 , BUTANE LIGHTER
 142 , BUTTON-DOWN DRESS SHIRT
 143 , CABINET & CONSOLE
