id, phrase
1  , A WRINKLE IN TIME
2  , ANNE OF GREEN GABLES
3  , ATLAS SHRUGGED
4  , BRAVE NEW WORLD
5  , CATCHING FIRE
6  , CLIFFORD THE BIG RED DOG
7  , EAST OF EDEN
8  , ENCYCLOPEDIA BRITANNICA
9  , GALLOP!
10 , GULLIVER'S TRAVELS
11 , JANE EYRE
12 , LORD JIM
13 , MAIN BRANCH
14 , MY LIFE IN FRANCE
15 , ON HER MAJESTY'S SECRET SERVICE
16 , OUT OF AFRICA
17 , OUTLINE OF HISTORY
18 , PATRIOT GAMES
19 , PRIDE AND PREJUDICE
20 , REBECCA OF SUNNYBROOK FARM
21 , SOMETHING WICKED THIS WAY COMES
22 , TALES OF A FOURTH GRADE NOTHING
23 , THE BRASS VERDICT
24 , THE CALL OF THE WILD
25 , THE CHRONICLES OF NARNIA
26 , THE GOURMET COOKBOOK
27 , THE GRAPES OF WRATH
28 , THE GREAT GATSBY
29 , THE HUNT FOR RED OCTOBER
30 , THE JUNGLE BOOK
31 , THE LAST SONG
32 , THE LITTLE ENGINE THAT COULD
33 , THE MERCHANT OF VENICE
34 , THE PRINCE AND THE PAUPER
35 , THE RED BADGE OF COURAGE
36 , THE STEPFORD WIVES
37 , THE WIND IN THE WILLOWS
38 , THREE DAYS OF THE CONDOR
39 , THUNDERBALL
40 , TO KILL A MOCKINGBIRD
41 , ULYSSES
42 , UNDER THE VOLCANO
43 , UTOPIA
44 , WALDEN
45 , WEBSTER'S THIRD NEW INTERNATIONAL DICTIONARY
46 , WHITE FANG
47 , WUTHERING HEIGHTS
