id , phrase
 1 , A STREETCAR NAMED DESIRE
 2 , ALL ABOUT EVE
 3 , ALL THE PRESIDENT'S MEN
 4 , AMERICAN BEAUTY
 5 , AN AMERICAN WEREWOLF IN LONDON
 6 , BEACH BLANKET BINGO
 7 , BOOK FAIR
 8 , BRIDE OF FRANKENSTEIN
 9 , BULL DURHAM
 10, BUTCH CASSIDY AND THE SUNDANCE KID
 11, CADDYSHACK
 12, CITIZEN KANE
 13, CLOSE ENCOUNTERS OF THE THIRD KIND
 14, COOL HAND LUKE
 15, DAMN YANKEES
 16, DAYS OF THUNDER
 17, DESIGNING WOMEN
 18, DOCTOR ZHIVAGO
 19, EASY RIDER
 20, FELLINI'S CASANOVA
 21, FIELD OF DREAMS
 22, FREAKY FRIDAY
 23, FUNNY GIRL
 24, GENTLEMEN PREFER BLONDES
 25, GHOSTBUSTERS
 26, GONE WITH THE WIND
 27, GREGORY PECK STARS IN THE BIG COUNTRY
 28, HIGH NOON
 29, IT HAPPENED ONE NIGHT
 30, JAMES GARNER STARS IN MAVERICK
 31, JAWS
 32, MIDNIGHT COWBOY
 33, MR SMITH GOES TO WASHINGTON
 34, MURDER SHE WROTE
 35, OLIVER!
 36, ON THE WATERFRONT
 37, ONE FLEW OVER THE CUCKOO'S NEST
 38, ORDINARY PEOPLE
 39, POSTCARDS FROM THE EDGE
 40, RALPH ALICE KRAMDEN
 41, ROOSTER COGBURN
 42, RUNNING BAREFOOT IN THE BACKYARD
 43, SOME COME RUNNING
 44, SOME LIKE IT HOT
 45, STAN LAUREL & OLIVER HARDY
 46, STAR WARS
 47, SUNSET BOULEVARD
 48, THE AFRICAN QUEEN
 49, THE ALLIGATOR PEOPLE
 50, THE APPLE DUMPLING GANG
 51, THE BIG CHILL
 52, THE BREAKFAST CLUB
 53, THE EMPIRE STRIKES BACK
 54, THE EXORCIST
 55, THE GODFATHER
 56, THE GOOD THE BAD AND THE UGLY
 57, THE GRADUATE
 58, THE GREATEST SHOW ON EARTH
 59, THE INCREDIBLE SHRINKING MAN
 60, THE INVISIBLE MAN
 61, THE LONG VOYAGE HOME
 62, THE LUCY SHOW
 63, THE MAN WHO KNEW TOO MUCH
 64, THE MAN WHO SHOT LIBERTY VALANCE
 65, THE PHANTOM OF THE OPERA
 66, THE PHILADELPHIA STORY
 67, THE PRESIDENT'S LADY
 68, THE ROCKY HORROR PICTURE SHOW
 69, THE SEVEN YEAR ITCH
 70, THE SHINING
 71, THE WAR OF THE WORLDS
 72, THREE COINS IN THE FOUNTAIN
 73, TO CATCH A THIEF
 74, TO SIR WITH LOVE
 75, URBAN COWBOY
 76, VIVA LAS VEGAS
 77, WILLY WONKA AND THE CHOCOLATE FACTORY
 78, YOUNG FRANKENSTEIN
 79, ZORBA THE GREEK
