id , phrase
1   , ALICE AND SAM THE BUTCHER
2   , ALICE FLO VERA AND MEL
3   , ANDY OPIE BARNEY AND AUNT BEE
4   , ANTHONY QUINN AS ZORBA THE GREEK
5   , ARCHIE AND EDITH BUNKER
6   , ART CARNEY AS ED NORTON
7   , BARBARA EDEN AS JEANNIE
8   , BARBARA EDEN STARS IN I DREAM OF JEANNIE
9   , BARNABY JONES
10  , BATMOBILE
11  , BEAM ME UP SCOTTY
12  , BEAVER WALLY EDDIE AND LUMPY
13  , BETTY AND BARNEY RUBBLE
14  , BEWITCHED
15  , BIZARRE
16  , BONANZA
17  , BOOK 'EM DANNO
18  , BOSS HOGG
19  , BREAKING BAD
20  , BUDDY EBSEN AS JED CLAMPETT
21  , BULL THE BAILIFF
22  , CAKETASTROPHE
23  , CHARLIES ANGELS
24  , CHARLOTTE RAE AS EDNA GARRETT
25  , CHEERS
26  , CHERYL LADD AS KRIS MUNROE
27  , CHIPS
28  , CHUCK CONNORS AS LUCAS MCCAIN
29  , CHUCK WOOLERY HOSTS LOVE CONNECTION
30  , CHUCK WOOLERY HOSTS WHEEL OF FORTUNE
31  , COLONEL ROBERT E HOGAN
32  , DALLAS & KNOTS LANDING
33  , DALLAS AND KNOTS LANDING
34  , DARRIN & SAMANTHA STEPHENS
35  , DENNIS WEAVER STARS IN MCCLOUD
36  , DESIGNING WOMEN
37  , DON ADAMS STARS IN GET SMART
38  , DON JOHNSON AS DETECTIVE SONNY CROCKETT
39  , DR KILDARE
40  , DRAGNET
41  , EAST ASIA
42  , EDDIE MUNSTER
43  , EIGHT IS ENOUGH
44  , F TROOP
45  , FAMILY MATTERS
46  , FAMILY TIES
47  , FANTASY ISLAND
48  , FAT ALBERT AND THE COSBY KIDS
49  , FATHER KNOWS BEST
50  , FRASIER
51  , FRED AND ETHEL MERTZ
52  , FRED FLINSTONE & BARNEY RUBBLE
53  , FRIDAYS
54  , GARY COLEMAN & TODD BRIDGES
55  , GET SMART
56  , GILLIGAN & THE SKIPPER
57  , GILLIGAN AND THE SKIPPER
58  , GILLIGAN'S ISLAND
59  , GINGER MARY ANN & THE PROFESSOR
60  , GOOD TIMES
61  , GREEN ACRES
62  , GUNSMOKE
63  , HAPPY DAYS
64  , HE-MAN AND THE MASTERS OF THE UNIVERSE
65  , HERE'S JOHNNY!
66  , HERE'S LUCY
67  , HERMAN AND LILY MUNSTER
68  , HOGAN'S HEROES
69  , HOLLYWOOD SQUARES
70  , HOOTERVILLE
71  , HUGO WEAVING AS AGENT SMITH
72  , I DREAM OF JEANNIE
73  , I LOVE LUCY
74  , IN LIVING COLOR
75  , IRONSIDE
76  , ISABEL SANFORD AS LOUISE JEFFERSON
77  , JAMES GARNER AS JIM ROCKFORD
78  , JAMES GARNER STARS IN MAVERICK
79  , JED GRANNY ELLY MAE AND JETHRO
80  , JOHN RITTER AS JACK TRIPPER
81  , JOHNNY QUEST
82  , JONNY QUEST
83  , JOSIE & THE PUSSYCATS
84  , JOSIE AND THE PUSSYCATS IN OUTER SPACE
85  , KNIGHT RIDER
86  , LA LAW
87  , LAVERNE AND SHIRLEY
88  , LAVERNE DEFAZIO & SHIRLEY FEENEY
89  , LEAVE IT TO BEAVER
90  , LITTLE HOUSE ON THE PRAIRIE
91  , LOST IN SPACE
92  , LOVE AMERICAN STYLE
93  , LUCY & ETHEL WORKING IN A CANDY FACTORY
94  , LUCY AND ETHEL WORKING IN A CANDY FACTORY
95  , LUCY RICARDO AND ETHEL MERTZ
96  , LURCH UNCLE FESTER AND COUSIN ITT
97  , MAGNUM PI
98  , MARCIA MARCIA MARCIA
99  , MARCIA JAN AND CINDY BRADY
100 , MARION CUNNINGHAM
101 , MARLA GIBBS AS FLORENCE JOHNSTON
102 , MARRIED WITH CHILDREN
103 , MAYBERRY RFD
104 , MCHALE'S NAVY
105 , MEMORABLE EPISODES OF THE TWILIGHT ZONE
106 , MIAMI VICE
107 , MIKE & CAROL BRADY
108 , MILLIONAIRE THURSTON HOWELL THE THIRD
109 , MISS JANE HATHAWAY & MILBURN DRYSDALE
110 , MISS KITTY AND FESTUS
111 , MISSION IMPOSSIBLE
112 , MISTER ED
113 , MISTER ROGER'S NEIGHBORHOOD
114 , MORK & MINDY
115 , MR TUDBALL & MRS WIGGINS
116 , MURDER SHE WROTE
117 , MURPHY BROWN
118 , MY FAVORITE MARTIAN
119 , MY THREE SONS
120 , NIGHT COURT
121 , NORTHERN EXPOSURE
122 , ONE DAY AT A TIME
123 , PARKER LEWIS CAN'T LOSE
124 , PARKER LEWIS CANT LOSE
125 , PASSWORD
