id , phrase
1    , A BICYCLE TOUR
2    , A BIG BASH
3    , A BIG DECISION
4    , A BIG WIN
5    , A BIKE TOUR THROUGH EUROPE
6    , A BOAT TRIP ON CRATER LAKE
7    , A BOAT TRIP ON LAKE ERIE
8    , A BREWING ROMANCE
9    , A BRIEF COLD SNAP
10   , A BRIEF ENCOUNTER
11   , A COME FROM BEHIND WIN
12   , A COME-FROM-BEHIND WIN
13   , A CRUISE ALONG THE MEXICAN RIVIERA
14   , A CRUISE THROUGH THE NORTHWEST PASSAGE
15   , A CRUISE TO A FARAWAY ISLAND
16   , A CRUISE TO THE ISLANDS
17   , A CYCLING TRIP ALONG THE COAST
18   , A DATE AT THE COFFEEHOUSE
19   , A DAY OF SUNSHINE AND SMILES
20   , A DAY TRIP TO NIAGARA FALLS
21   , A DIFFICULT HIKE
22   , A DRIVE ALONG THE COAST
23   , A FABULOUS TOUR OF VIENNA
24   , A FAMILY GATHERING
25   , A FRIEND'S WEDDING
26   , A GAME IN EXTRA INNINGS
27   , A GAME OF SCRIMMAGE
28   , A GATHERING AROUND A FIRE PIT
29   , A GATHERING AROUND FIRE PIT
30   , A GET-TOGETHER WITH FRIENDS & FAMILY
31   , A GET-TOGETHER WITH FRIENDS AND FAMILY
32   , A GUIDED FISHING TRIP ON THE ROGUE RIVER
33   , A HIKE ON A GREEK ISLAND
34   , A HIKE ON MOUNT HOOD
35   , A HIKE TO THE TOP OF SADDLE MOUNTAIN
36   , A HUMBLING EXPERIENCE
37   , A LONG HOT SHOWER
38   , A LONG WALK ON THE BEACH
39   , A MEMORABLE BIRTHDAY
40   , A MULE TRIP INTO THE GRAND CANYON
41   , A NEW KING'S CORONATION
42   , A NICE HOT SHOWER
43   , A NIGHT AT THE BALLET
44   , A NIGHT OF CLUB HOPPING
45   , A NIGHT OF CLUB-HOPPING
46   , A NIGHT OF DINNER & DANCING
47   , A NIGHT OUT ON THE TOWN ON SIXTH STREET
48   , A NIGHT OUT WITH FRIENDS
49   , A NIGHT TO REMEMBER
50   , A NIGHT UNDER THE STARS
51   , A PLEASANT STROLL ALONG THE RIVER
52   , A POOLSIDE PARTY
53   , A QUICK BREAK
54   , A RAFTING TRIP DOWN THE COLORADO RIVER
55   , A RAFTING TRIP IN THE GRAND CANYON
56   , A RED-LETTER DAY
57   , A RELAXING AFTERNOON
58   , A RELAXING FAMILY VISIT
59   , A RIDE ACROSS THE GOLDEN GATE BRIDGE
60   , A RIDE ON THE LONDON EYE
61   , A ROAD TRIP THROUGH THE WESTERN STATES
62   , A ROMANTIC DINNER FOR TWO
63   , A ROMANTIC DINNER FOR TWO PEOPLE
64   , A SEARCH FOR FOSSILS
65   , A SERIES OF PRESIDENTIAL PRIMARIES
66   , A SIDE TRIP TO THE COLORADO RIVER
67   , A SOAK IN A THERMAL SPRING
68   , A STROLL ON THE BEACH
69   , A SYMPHONY OF LIGHTS LASER-LIGHT SHOW
70   , A TEN-MINUTE NAP
71   , A TIP TO THE SUNSHINE STATE
72   , A TOUR OF A FAMOUS MONASTERY
73   , A TOUR OF CHARMING TOWNS
74   , A TOUR OF MAYAN RUINS
75   , A TOUR OF THE AMAZON
76   , A TOUR OF THE CITY
77   , A TOUR OF THE COVERED BRIDGES
78   , A TOUR OF THE STATE CAPITOL
79   , A TOUR OF THE TAJ MAHAL
80   , A TOUR OF THE WHITE HOUSE
81   , A TOUR OF WESTMINSTER ABBEY
82   , A TOUR ON THE GRAND CANYON RAILWAY
83   , A TRIP OUT WEST
84   , A TRIP OVERSEAS
85   , A TRIP THROUGH THE MANGROVES
86   , A TRIP TO A FISH HATCHERY
87   , A TRIP TO A LUXURIOUS SPA
88   , A TRIP TO A SECRET ISLAND
89   , A TRIP TO A SUPERVOLCANO
90   , A TRIP TO A TEMPERATE RAINFOREST
91   , A TRIP TO A TINY CITY
92   , A TRIP TO A WILDLIFE REFUGE
93   , A TRIP TO ALBUQUERQUE NEW MEXICO
94   , A TRIP TO ALBUQUERQUE OLD TOWN
95   , A TRIP TO AMISH COUNTRY
96   , A TRIP TO AN INDOOR PLAYGROUND
97   , A TRIP TO AN ISLAND IN THE PACIFIC
98   , A TRIP TO ANTARCTICA
99   , A TRIP TO BADLANDS NATIONAL PARK
100  , A TRIP TO BALI
101  , A TRIP TO BANGOR MAINE
102  , A TRIP TO BARCELONA SPAIN
103  , A TRIP TO BERMUDA
104  , A TRIP TO BOULDER COLORADO
105  , A TRIP TO CAMBRIDGE
106  , A TRIP TO CASPER WYOMING
107  , A TRIP TO CENTRAL EUROPE
108  , A TRIP TO CONEY ISLAND
109  , A TRIP TO CRATER LAKE NATIONAL PARK
110  , A TRIP TO DEVILS TOWER
111  , A TRIP TO EASTER ISLAND
112  , A TRIP TO ENGLAND
113  , A TRIP TO EUROPE
114  , A TRIP TO FENWAY PARK
115  , A TRIP TO FORT LAUDERDALE FLORIDA
116  , A TRIP TO GALLUP NEW MEXICO
117  , A TRIP TO GLACIER BAY NATIONAL PARK
118  , A TRIP TO GREECE
119  , A TRIP TO HAYSTACK ROCK
120  , A TRIP TO HISTORIC MINING TOWNS
121  , A TRIP TO HOLLYWOOD FLORIDA
122  , A TRIP TO INDIA
123  , A TRIP TO INSCRIPTION ROCK
124  , A TRIP TO KENNEDY SPACE CENTER
125  , A TRIP TO LONDON ENGLAND
126  , A TRIP TO MACHU PICCHU
127  , A TRIP TO METEOR CRATER
128  , A TRIP TO MILAN ITALY
129  , A TRIP TO MOSCOW RUSSIA
130  , A TRIP TO MOUNT RUSHMORE
131  , A TRIP TO NEPAL
132  , A TRIP TO NEW YORK NEW YORK
133  , A TRIP TO PARIS FRANCE
134  , A TRIP TO PORTLAND OREGON
135  , A TRIP TO PRESCOTT NATIONAL FOREST
136  , A TRIP TO ROSWELL NEW MEXICO
137  , A TRIP TO SAN DIEGO CALIFORNIA
138  , A TRIP TO SANTA FE NEW MEXICO
139  , A TRIP TO TAMPA FLORIDA
140  , A TRIP TO THE AUSTIN ZOO
141  , A TRIP TO THE BASEBALL HALL OF FAME
142  , A TRIP TO THE BIG ISLAND
143  , A TRIP TO THE CAREER PLACEMENT OFFICE
144  , A TRIP TO THE CAREER-PLACEMENT OFFICE
145  , A TRIP TO THE CONCESSION STAND
146  , A TRIP TO THE COOK ISLANDS
147  , A TRIP TO THE COUNTRYSIDE
148  , A TRIP TO THE DEEPEST LAKE IN THE US
149  , A TRIP TO THE DEEPEST LAKE IN THE US
150  , A TRIP TO THE FOUR CORNERS AREA
151  , A TRIP TO THE GEORGIA O'KEEFFE MUSEUM
152  , A TRIP TO THE ISLAND OF KOTLIN
153  , A TRIP TO THE MUSEUM
154  , A TRIP TO THE NORTH POLE
155  , A TRIP TO THE PACIFIC NORTHWEST
156  , A TRIP TO THE PARTY SUPPLY STORE
157  , A TRIP TO THE PARTY-SUPPLY STORE
158  , A TRIP TO THE PASTRY SHOP
159  , A TRIP TO THE PETRIFIED FOREST
160  , A TRIP TO THE PETRIFIED FORREST
161  , A TRIP TO THE PUMPKIN PATCH
162  , A TRIP TO THE RUINS
163  , A TRIP TO THE SNOW COVERED ANDES
164  , A TRIP TO THE SNOW-COVERED ANDES
165  , A TRIP TO THE SUMMIT
166  , A TRIP TO THE SUNSHINE STATE
167  , A TRIP TO THE SWISS ALPS
168  , A TRIP TO THE TOY STORE
169  , A TRIP TO THE WETLANDS
170  , A TRIP TO TRANSYLVANIA
171  , A TRIP TO WRIGGLED FIELD
172  , A TRIP TO WRIGLEY FIELD
173  , A TRIP TO WYOMING
174  , A TRIP TO YANKEE STADIUM
175  , A VACATION ABROAD
176  , A VISIT TO A GHOST TOWN
177  , A VISIT TO AN ALPINE VILLAGE
178  , A VISIT TO BADLANDS NATIONAL PARK
179  , A VISIT TO BUCKINGHAM PALACE
180  , A VISIT TO KENSINGTON PALACE
181  , A VISIT TO THE GIZA PYRAMID
182  , A VISIT TO THE HOT SPRINGS
183  , A VISIT TO THE PYRAMIDS
184  , A WALK ON AN EXOTIC BEACH
185  , A WALK THROUGH THE TREES
186  , A WEEKEND GETAWAY
187  , A WEEKEND IN MAUI
188  , A WEEKEND ON MARTHA'S VINEYARD
189  , A WEEKEND ON MARTHA'S VINYARD
190  , A WEEKEND ON NANTUCKET ISLAND
191  , ABORIGINAL HERITAGE TOUR
192  , ACADEMY AWARDS PRE-SHOW
193  , ACADIAN FESTIVAL
194  , ACT OF HEROISM
195  , ACTION PACKED NIGHT OUT
196  , ACTION-PACKED ADVENTURES
197  , ACTION-PACKED ESCAPE
198  , ACTION-PACKED ESCAPES
199  , ACTION-PACKED FOOTBALL GAME
200  , ACTION-PACKED NIGHT OUT
201  , ACTUAL REENACTMENT
202  , ADJUSTING MY TIE
203  , ADJUSTING YOUR CARS AIR VENTS
204  , ADMINISTRATIVE PROFESSIONALS' DAY
205  , ADOBE STOCK IMAGES
206  , ADVANCE SCREENING
207  , ADVENTURE AT SEA
208  , ADVENTUROUS SAFARI
209  , ADVENTUROUS TRIP
210  , AEROBICS CLASS
211  , AFFIRMATIVE ACTION IS IMPLEMENTED
212  , AFRICAN HONEYMOON
213  , AFRICAN SAFARI
214  , AFTER DARK
215  , AFTER-GAME CELEBRATIONS
216  , AFTER-HOURS PARTY
217  , AFTER-SCHOOL ACTIVITY
218  , AFTERNOON BUSINESS MEETING
219  , AFTERNOON DOWNPOUR
220  , AFTERNOON GARDEN PARTY
221  , AFTERNOON MOVIE
222  , AFTERNOON NAP
223  , AFTERNOON NAP ON THE SAND
224  , AFTERNOON SAILING LESSON
225  , AFTERNOON SHOPPING TRIP
226  , AFTERNOON TEATIME
227  , AFTERNOON THUNDERSHOWER
228  , AFTERNOON YOGA CLASS
229  , AGRICULTURAL FAIR
230  , ALBUM TOUR
231  , ALL SOULS' DAY
232  , ALL THE FAMILY LAUGHING AND SINGING
233  , ALL-DAY HIKING TOUR
234  , ALL-DAY SEMINAR
235  , ALL-DAY SHOPPING
