id , phrase
1   , ABBEY LIBRARY OF ST GALL
2   , ABERDEEN MARITIME MUSEUM
3   , ACADIA NATIONAL PARK
4   , ACROPOLIS MUSEUM IN ATHENS GREECE
5   , ADMIRAL THEATER
6   , ADMIRAL THEATRE
7   , AFRICAN AMERICAN MUSEUM IN PHILADELPHIA
8   , ALASKA TRADE BUILDING
9   , ALMUDENA CATHEDRAL
10  , AMAZING SURROUNDINGS
11  , AMAZON RIVER
12  , AMBASSADOR THEATER
13  , AMERICAN AIRLINES CENTER IN DALLAS
14  , AMERICAN FOLK ART MUSEUM
15  , AMERICAN MUSEUM OF NATURAL HISTORY
16  , ANCIENT AGORA OF ATHENS
17  , ANCIENT STONE TEMPLES
18  , ANTELOPE CANYON
19  , ANTIOCH UNIVERSITY
20  , AQUARIUM OF THE BAY
21  , ARCHAEOLOGICAL MONUMENT
22  , ARCTIC NATIONAL WILDLIFE REFUGE
23  , ARIZONA STATE MUSEUM
24  , ARIZONA STATE UNIVERSITY
25  , ARROWHEAD STADIUM
26  , ART INSTITUTE OF CHICAGO
27  , AT&T CENTER IN SAN ANTONIO
28  , AT&T CENTER SAN ANTONIO
29  , ATHENS PLANETARIUM
30  , AUBURN BOTANICAL GARDENS
31  , AZTEC RUINS NATIONAL MONUMENT
32  , BADLANDS NATIONAL PARK
33  , BADLANDS NATIONAL PARK IN NORTH DAKOTA
34  , BADLANDS NATIONAL PARK IN SOUTH DAKAOTA
35  , BADLANDS NATIONAL PARK IN SOUTH DAKOTA
36  , BALI BRIDGE
37  , BALLARD CARNEGIE LIBRARY
38  , BARCLAYS CENTER IN BROOKLYN
39  , BASS HARBOR HEAD LIGHTHOUSE
40  , BATHS OF CARACALLA
41  , BATTLE ABBEY
42  , BAXTER STATE PARK
43  , BEACON ROCK
44  , BEAVER STADIUM
45  , BELCOURT THEATER
46  , BELCOURT THEATRE
47  , BELLE MEADE PLANTATION
48  , BELVEDERE VIENNA
49  , BIG BEN
50  , BIG BEND NATIONAL PARK
51  , BIG TREE PARK
52  , BIGHORN CANYON
53  , BIGHORN MOUNTAINS
54  , BILLY THE KID MUSEUM
55  , BLACKPOOL PLEASURE BEACH
56  , BLACKSTONE GLACIER
57  , BLOOMFIELD SCIENCE MUSEUM
58  , BLUE GROTTO IN ITALY
59  , BLUE RIDGE PARKWAY
60  , BOAT QUAY
61  , BOHEMIAN PARADISE
62  , BOK TOWER
63  , BOSTON CHILDREN'S MUSEUM
64  , BOSTON COMMON
65  , BOSTON HARBOR
66  , BOSTON NATIONAL HISTORICAL PARK
67  , BOSTON NAVY YARD
68  , BOSTON OPERA HOUSE
69  , BRAZILIAN ACADEMY
70  , BRAZILIAN ACADEMY OF LETTERS
71  , BRIDGE OF FIFTEEN BRIDGES
72  , BRIDGE OF SIGHS
73  , BRIDGESTONE ARENA
74  , BRITISH MUSEUM IN LONDON
75  , BROADWAY THEATER
76  , BROADWAY THEATRE
77  , BRONX ZOO
78  , BROOKLYN BRIDGE
79  , BRUSSELS TOWN HALL
80  , BRYCE CANYON
81  , BRYCE CANYON NATIONAL PARK
82  , BUCKINGHAM FOUNTAIN
83  , BUCKINGHAM PALACE
84  , BUCKLEY AIR FORCE BASE
85  , BUENOS AIRES ZOO
86  , BUNKER HILL MONUMENT
87  , BUREAU OF ENGRAVING AND PRINTING
88  , CY TUNG MARITIME MUSEUM
89  , CAIRO UNIVERSITY
90  , CALIFORNIA HISTORIC NATIONAL TRAIL
91  , CALIFORNIA NATIONAL HISTORIC TRAIL
92  , CALTON HILL
93  , CAMELBACK MOUNTAIN
94  , CAMEN MIRANDA MUSEUM
95  , CANDLESTICK PARK
96  , CANYONLANDS NATIONAL PARK
97  , CAPE BLANCO LOOKOUT & LIGHTHOUSE
98  , CAPE CANAVERAL
99  , CAPE CANAVERAL AIR FORCE STATION
100 , CAPITAL HILL
101 , CAPITOL HILL
102 , CARLSBAD CAVERNS
103 , CARLSBAD CAVERNS NATIONAL PARK
104 , CARMEN MIRANDA MUSEUM
105 , CARNEGIE HALL
106 , CAROLINES OF BROADWAY IN NEW YORK
107 , CAROLINES ON BROADWAY IN NEW YORK
108 , CASA GRANDE RUINS NATIONAL MONUMENT
109 , CASTLE CREST WILDFLOWER GARDEN
110 , CASTLE OF LISBON
111 , CASTLE OF LISBORN
112 , CATHEDRAL ROCK
113 , CAVE OF THE CRYSTALS IN MEXICO
114 , CAVE OF THE GHOST IN VENEZUELA
115 , CAVE OF THE SWALLOWS IN MEXICO
116 , CELEBRITY SQUARE
117 , CENTENNIAL PARK IN ATLANTA
118 , CENTRAL LIBRARY
119 , CENTRAL PARK
120 , CENTRAL PARK IN NEW YORK CITY
121 , CENTRAL PARK ZOO
122 , CENTRAL WATER CATCHMENT
123 , CHARLES BRIDGE
124 , CHARLES HOSMER MORSE MUSEUM OF AMERICAN ART
125 , CHEYENNE MOUNTAIN ZOO
126 , CHICHEN ITZA IN MEXICO
127 , CHINA ART MUSEUM
128 , CHINATOWN FRIENDSHIP ARCHWAY
129 , CHRYSLER BUILDING
130 , CHURCH OF ST NICHOLAS
131 , CHURCH STEEPLE
132 , CIRCULAR QUAY
133 , CIRCUS MAXIMUS
134 , CITY GOD TEMPLE
