id , phrase
1    , A DOG BURYING HIS NOSE IN THE SNOW
2    , A DOG CATCHING A FRISBEE
3    , A DOG CHASING ITS TAIL
4    , A FLOCK OF GEESE
5    , A FLOWER IN FULL BLOOM
6    , A GORILLA POUNDING HIS CHEST
7    , A HEALTHY DOG WITH A SILKY COAT
8    , A HEN SITTING ON HER NEST
9    , A HERD OF GALLOPING ANTELOPES
10   , A HORSE PULLING A WAGON
11   , A HORSE TROTTING DOWN A BEACH
12   , A LIONESS & HER CUBS
13   , A LITTER OF PUPPIES
14   , A LIVING PACK OF CUYOTES
15   , A MOTHER BEAR & HER CUBS
16   , A MOTHER BEAR AND HER CUBS
17   , A PACK OF COYOTES
18   , A PACK OF WOLVES
19   , A PATCH OF PALM TREES IN THE DESERT
20   , A PLETHORA OF BIRD SPECIES
21   , A VARIETY OF WILDLIFE
22   , AARDVARK
23   , ABUNDANT WILDLIFE
24   , ACORN WOODPECKER
25   , ACORN WOODPECKERS
26   , ACORN WORM
27   , ACROBAT ANTS
28   , ADDER'S TONGUE
29   , ADDERS TONGUE
30   , ADORABLE AUSTRALIAN BILBIES
31   , AERIAL SCAVENGERS
32   , AERIALISTS
33   , AFGHAN HOUND
34   , AFRICAN BUFFALO
35   , AFRICAN ELEPHANT
36   , AFRICAN MAHOGANY
37   , AFRICAN MARIGOLD
38   , AFRICAN SAVANNA ELEPHANT
39   , AFRICAN VIOLET
40   , AFRICAN VIOLET PLANTS
41   , AFRICAN WILD DOG
42   , AFRICANIZED HONEYBEES
43   , AKITA PUPPIES
44   , ALASKAN KING CRAB
45   , ALASKAN MALAMUTE
46   , ALASKAN MOOSE
47   , ALBATROSS
48   , ALDER FLYCATCHER
49   , ALFALFA
50   , ALLEY CAT
51   , ALLEY CATS
52   , ALLIGATOR SNAPPING TURTLE
53   , ALLIGATORS & CROCODILES
54   , ALLIGATORS AND CROCODILES
55   , ALOE VERA PLANT
56   , ALPACA
57   , ALPACAS
58   , ALPINE IBEX
59   , ALUMINUM PLANT
60   , AMARYLLIS PLANT
61   , AMAZING SEA CREATURES
62   , AMAZONIAN MANATEE
63   , AMAZONIAN RIVER DOLPHIN
64   , AMAZONIAN RIVER DOLPHINS
65   , AMBUSH BUG
66   , AMEOBA
67   , AMERICAN ALLIGATOR
68   , AMERICAN ALLIGATORS
69   , AMERICAN ASPEN TREES
70   , AMERICAN BALD EAGLE
71   , AMERICAN BISON
72   , AMERICAN BISON & BALD EAGLES
73   , AMERICAN BUFFALO
74   , AMERICAN CROCODILE
75   , AMERICAN FOXHOUND
76   , AMERICAN GOLDFINCH
77   , AMERICAN KESTREL
78   , AMERICAN MINK
79   , AMERICAN OYSTER CATCHER
80   , AMERICAN OYSTERCATCHER
81   , AMERICAN OYSTERCATCHERS
82   , AMERICAN PINE MARTEN
83   , AMERICAN ROBIN
84   , AMERICAN WHITE PELICAN
85   , AMOEBA
86   , AMPHIBIANS
87   , ANACONDA
88   , ANACONDA SNAKE
89   , ANDEAN FOX
90   , ANDEAN MOUNTAIN CATS
91   , ANGEL FISH
92   , ANGEL SHARKS
93   , ANGELFISH
94   , ANGLERFISH
95   , ANGORA CAT
96   , ANGWANTIBO
