id, phrase
1    , ABERDEEN SCOTLAND
2    , ABILENE KANSAS
3    , ABILENE TEXAS
4    , ADIRONDAC MOUNTAINS
5    , ADIRONDACK MOUNTAINS
6    , ADRIATIC SEA
7    , AF JAFR BASIN
8    , AFRICA
9    , AKRON OHIO
10   , ALASKA
11   , ALASKA RANGE
12   , ALASKAN PANHANDLE
13   , ALBANY NEW YORK
14   , ALBERTA CANADA
15   , ALBUQUERQUE NEW MEXICO
16   , ALCATRAZ ISLAND
17   , ALEXANDRIA EGYPT
18   , ALEXANDRIA VIRGINIA
19   , ALGERIA
20   , ALLEGHENY MOUNTAINS
21   , ALLEGHENY RIVER
22   , AMAZON RIVER
23   , AMSTERDAM NETHERLANDS
24   , ANCHORAGE
25   , ANCHORAGE ALASKA
26   , ANCIENT CAPITAL OF EGYPT MEMPHIS
27   , ANDERLECHT
28   , ANDES MOUNTAINS
29   , ANGEL FALLS IN SOUTH AMERICA
30   , ANN ARBOR MICHIGAN
31   , ANNAPOLIS MARYLAND
32   , ANTARCTICA
33   , APACHE JUNCTION ARIZONA
34   , APACHE TRAIL SCENIC ROAD
35   , APPALACHIAN MOUNTAINS
36   , APPALACHIAN NATIONAL SCENIC TRAIL
37   , ARABIAN SEA
38   , ARCTIC OCEAN
39   , ARGENTINA
40   , ARGENTINA AND PARAGUAY
41   , ARKANSAS RIVER
42   , ARLINGTON TEXAS
43   , ARLINGTON VIRGINIA
44   , ASBURY PARK NEW JERSEY
45   , ASIA
46   , ASIA-PACIFIC REGION
47   , ASPEN
48   , ASPEN COLORADO
49   , ATHENS GREECE
50   , ATLANTA GEORGIA
51   , ATLANTIC CITY NEW JERSEY
52   , ATLANTIC COAST
53   , ATLANTIC OCEAN
54   , AUCKLAND NEW ZEALAND
55   , AUGUSTA MAINE
56   , AUGUSTUS MAINE
57   , AUSTIN TEXAS
58   , AUSTRALIA
59   , BAILEY ISLAND
60   , BAJA CALIFORNIA
61   , BAKERSFIELD
62   , BALTIMORE MARYLAND
63   , BANGKOK THAILAND
64   , BANGOR
65   , BANGOR MAIN
66   , BAR HARBOR MAINE
67   , BARBADOS
68   , BARCELONA SPAIN
69   , BARTLESVILLE
70   , BAVARIA GERMANY
71   , BAY OF BISCAY
72   , BEAR LAKE ROAD
73   , BEARTOOTH MOUNTAINS
74   , BEAUTIFUL ADRIATIC COAST
75   , BEAUTIFUL SKYLINE
76   , BEAVER CREEK
77   , BEIJING
78   , BEIJING CHINA
79   , BELLEVUE WASHINGTON
80   , BELLINGHAM WASHINGTON
81   , BEND OREGON
82   , BERING STRAIT
83   , BERKELEY CALIFORNIA
84   , BERLIN GERMANY
85   , BERMUDA
86   , BEST MOVIE OF THE YEAR
87   , BETHESDA MARYLAND
88   , BETHESDA MARYLAND
89   , BEVERLY HILLS
90   , BEVERLY HILLS CALIFORNIA
91   , BIG BLACK RIVER
92   , BIG PINEY WYOMING
93   , BIG RAPA
94   , BIG SUR CALIFORNIA
95   , BIG THOMPSON RIVER
96   , BIGHORN BASIN
97   , BIGHORN RIVER
98   , BILLINGS MONTANA
99   , BILOXI MISSISSIPPI
100  , BIRMINGHAM ALABAMA
101  , BIRMINGHAM ENGLAND
102  , BISMARCK NORTH DAKOTA
