id, phrase
1    , A BEVY OF BLONDE BEAUTIES
2    , A CAPPELLA GROUP
3    , A CROWD FLOODING IN
4    , A GROUP OF FRIENDS
5    , A PANEL OF EXPERTS
6    , A WALK IN THE PARK
7    , A-LIST ACTORS
8    , A-LIST CELEBRITIES
9    , A-LISTERS
10   , ABLE CREWMATES
11   , ABLE-BODIED YOUNG MEN
12   , ABSENTEE VOTERS
13   , ABSOLUTE BEGINNERS
14   , ACADEMIA
15   , ACADEMY AWARD NOMINEES
16   , ACADEMY AWARD WINNERS
17   , ACCLAIMED FILMMAKER
18   , ACCOMPLISHED SONGWRITERS
19   , ACCORDION PLAYER
20   , ACROBATS & JUGGLERS
21   , ACTIVE-DUTY PERSONNEL
22   , ADOPTED CHILDREN
23   , ADOPTIVE PARENTS
24   , ADORABLE BABY
25   , ADRENALINE JUNKIES
26   , ADULT CHILDREN
27   , ADVANCE TEAM
28   , ADVANCED CIVILIZATION
29   , ADVENTUROUS GIRL
30   , ADVENTUROUS SNOWSHOER
31   , ADVENTUROUS SOULS
32   , ADVENTUROUS TRAVELERS
33   , ADVERSARIES
34   , ADVERTISING DEPARTMENT
35   , ADVISORY BOARD
36   , ADVISORY COMMITTEE
37   , AERIAL CAMERA CREW
38   , AERIALISTS
39   , AGENTS & BROKERS
40   , AIRPLANE PASSENGERS
41   , ALGEBRA PROFESSOR
42   , ALL-AMERICAN TEENAGERS
43   , ALL-STAR CAST
44   , ALL-STAR PITCHERS
45   , ALL-STAR TEAM
46   , ALLIES & PARTNERS
47   , ALTERNATE JURORS
48   , AMATEUR ATHLETES
49   , AMATEUR DETECTIVES
50   , AMATEUR MAGICIAN
51   , AMATEUR SURFERS
52   , AMATEUR SWIMMERS
53   , AMATEURS AND PROFESSIONALS
54   , AMAZING ACROBATS
55   , AMAZING PARENTS
56   , AMAZING PERFORMERS
57   , AMAZING PLAYMAKERS
58   , AMAZING PLAYWRIGHT
59   , AMERICAN AUTOMAKERS
60   , AMERICAN IDOL JUDGES
61   , AMERICAN PATRIOTS
62   , AMERICAN TOURISTS
63   , AMUSING PERFORMERS
64   , AN ACQUAINTANCE OF MINE
65   , ANCESTORS
66   , ANCIENT GREEKS
67   , ANCIENT MONKS
68   , ANCIENT ROMANS
69   , ANCIENT-HISTORY BUFFS
70   , ANIMAL LOVERS
71   , ANIMAL RIGHT ACTIVISTS
72   , ANIMAL RIGHTS ACTIVISTS
73   , ANONYMOUS CALLERS
74   , ANTIQUARIAN BOOKSELLERS
75   , APELIKE ANCESTORS
76   , APPLAUDING AUDIENCE
77   , AQUARIANS
78   , AQUARIANS AND VIRGOS
79   , ARCHBISHOPS
80   , ARCHENEMY
81   , ARDENT FANS
82   , AREA NATIVES
83   , ARIES & PISCES
84   , ARISTOCRATS
85   , ARMED FORCES
86   , ARMY BUDDIES
87   , ART DEPARTMENT
88   , ART PATRONS
89   , ARTISANS
90   , ARTISTIC FAMILIES
91   , ARTISTIC WOMEN
92   , ARTISTS & FISHERMEN
93   , ARTISTS & PERFORMERS
94   , ARTS & CRAFT VENDORS
95   , ARTS & CRAFTS VENDORS
96   , ASIAN AMERICANS
97   , ASPCA MEMBER
98   , ASPIRING YOUNG ADULTS
99   , ASTROLOGERS
100  , ASTROLOGISTS
101  , ATHLETIC STARS
102  , ATTENDEES
103  , ATTRACTIVE ATTENDEES
104  , ATTRACTIVE COUPLE
105  , ATTRACTIVE YOUNG COUPLE
106  , AUNT & UNCLE
107  , AUNTS & UNCLES
108  , AUTHORIZED DEALERS
109  , AUTHORIZED PERSONNEL
110  , AUTHORS & EDUCATORS
111  , AUTHORS & POETS
112  , AUTO CLUB
113  , AVERAGE AMERICAN FAMILY
114  , AVERAGE JOES
115  , AVID SPORTS FANS
116  , AWARD NOMINEES
117  , AWARD WINNING CHOREOGRAPHER
118  , AWARD WINNING ENSEMBLE CAST
119  , AWARD WINNING MANAGEMENT TEAM
120  , AWARD WINNING TEAM
121  , AWARD-WINNING ENSEMBLE CAST
122  , AWARD-WINNING MANAGEMENT TEAM
123  , AWARD-WINNING TEAM
124  , AWARDS COMMITTEE
125  , AZTEC INDIANS
126  , BABIES & TODDLERS
127  , BABY BOOMERS
128  , BABY BOYS
129  , BACKCOUNTRY CAMPERS
130  , BACKING BAND
131  , BACKPACKERS
132  , BACKUP SINGERS
133  , BADMINTON NET
134  , BALLROOM DANCERS
135  , BALMY BREEZES
136  , BANJO PLAYER
137  , BARBARIANS
138  , BARBERSHOP QUARTET
139  , BARGAIN HUNTERS
140  , BARGAIN SHOPPER
141  , BARISTAS
142  , BARITONES AND TENORS
143  , BAROQUE COMPOSERS
144  , BASE JUMPERS
145  , BASEBALL ENTHUSIASTS
146  , BASEBALL FANS
147  , BASEBALL HALL OF FAMERS
148  , BASEBALL PITCHER
149  , BASEBALL PLAYERS
150  , BASEBALL TEAM
151  , BATON TWIRLER
152  , BEACH BUNNIES
153  , BEARER OF GOOD NEWS
154  , BEAUTIFUL HOLLYWOOD STARLETS
155  , BEAUTY PAGEANT CONTESTANTS
156  , BEGINNING BIRDER
157  , BELL RINGERS
158  , BELLY DANCERS
159  , BELOVED ICON
160  , BEST BUDDIES
161  , BEST FRIENDS
162  , BEST FRIENDS FOR LIFE
163  , BEST MAN & MAID OF HONOR
164  , BIBLICAL SCHOLARS
165  , BIG FAMILY
166  , BIGGER KIDS
167  , BIGGEST TOURING ACTS
168  , BILINGUAL TRAVELERS
169  , BILLIONAIRES
170  , BIRD WATCHERS
171  , BIRDIE BIKERS
172  , BIRDWATCHERS
173  , BIRTH FAMILY
174  , BLACKTIPPED REEF SHARK
175  , BLOGGERS
176  , BLONDE-HAIRED BLUE-EYED MEN
177  , BLONDES AND REDHEADS
178  , BLOOD BROTHERS
179  , BLOWHARD
180  , BLUE-COLLAR WORKERS
181  , BLUE-RIBBON PANEL
182  , BLUEGRASS BAND
183  , BLUSTERY BOSSES
184  , BOARD OF ALDERMAN
185  , BOARD OF ALDERMEN
186  , BOARD OF DIRECTORS
187  , BOARD OF TRUSTEES
188  , BOBSLED TEAM
189  , BODYGUARDS
190  , BONGO PLAYER
191  , BOOK CLUB
192  , BOWLING LEAGUE
193  , BOWLING TEAM
194  , BOXING LEGENDS
195  , BOY SCOUT TROOP
196  , BOY SCOUTS
197  , BOYFRIEND & GIRLFRIEND
198  , BOYS & GIRLS
199  , BOYS AND MEN
200  , BOYS CHOIR
201  , BRASS BAND
202  , BRAVE KNIGHTS
203  , BRAVE SOLDIERS
204  , BRAVE STATESMEN
205  , BRAZILIANS
206  , BREADWINNERS
207  , BREAKOUT STARS
208  , BRIDE & GROOM
209  , BRIDE AND GROOM
210  , BRIDE-TO-BE
211  , BRILLIANT YOUNG MINDS
212  , BROADWAY ACTRESS
213  , BROTHER & SISTER
214  , BROTHERS & SISTERS
215  , BROWNIE TROOP
216  , BUDDING ARTIST
217  , BUS PASSENGERS
218  , BUSHIES
219  , BUSINESS COLLEAGUES
220  , BUSINESS LEADERS
221  , BUSINESS OWNERS
222  , BUSINESS PARTNERS
223  , BUSINESS TRAVELERS
224  , BUSKERS
225  , BUSTLING TOURISTS
226  , BUSY PASSENGERS
227  , BUSY TOURISTS
228  , BUSYBODY
229  , BUYERS & SELLERS
230  , CABINET MEMBERS
231  , CADDIES
232  , CAFETERIA WORKERS
233  , CALVIN HARRIS
234  , CALVIN KLEIN MODELS
235  , CANCAN DANCERS
236  , CANDY STRIPER
237  , CANYONEERS
238  , CAPRICORN & PISCES
239  , CAPTAIN & FIRST MATE
240  , CAPTAIN & SEAMAN
241  , CAPTAIN AND CREW
242  , CAPTAIN AND FIRST MATE
243  , CAPTIVATED SPECTATOR
244  , CAPTIVATED SPECTATORS
245  , CAPTIVATING JUGGLERS
246  , CAPTIVE AUDIENCE
247  , CAR COLLECTORS
248  , CAR OWNERS
249  , CARD SHARK
250  , CARD-CARRYING MEMBERS
251  , CAREFREE CROWDS
252  , CARING SIBLINGS
253  , CARNIVAL BARKER
254  , CARNIVAL PARTICIPANTS
255  , CAROLERS
256  , CASINO STAFF
257  , CAST & CREW
258  , CAST OF CHARACTERS
259  , CASUAL FRIENDS
260  , CASUAL GAME-PLAYERS
261  , CAT LOVERS
262  , CAT OWNERS
263  , CATCHER & BATTER
264  , CATCHER & PITCHER
265  , CATTLE RANCHERS
266  , CELEBRITIES WHO SHARE YOUR BIRTHDAY
267  , CELEBRITY CHEFS
268  , CELEBRITY IMPERSONATORS
269  , CELEBRITY PANEL
270  , CELEBRITY STYLIST
271  , CELEBRITY TATTOO ARTIST
272  , CELLMATES
273  , CELTIC SINGERS
274  , CERTIFIED TEACHERS
275  , CERTIFIED TECHNICIANS
276  , CHAIN OF COMMAND
277  , CHAMPION PRO-SPORTS TEAM
278  , CHAMPION PRO-SPORTS TEAMS
279  , CHARACTER ACTORS
280  , CHARISMATIC CANDIDATES
281  , CHARISMATIC LEADERS
282  , CHARLIES ANGELS
283  , CHARMING CHILDREN
284  , CHARMING STREET ENTERTAINERS
285  , CHARMING YOUNG LADIES
286  , CHEERFUL CHILDREN
287  , CHEERFUL LOCALS
288  , CHEERLEADERS
289  , CHEERLEADERS & SPORTS STARS
290  , CHEERLEADING SQUAD
291  , CHEF OF THE YEAR
292  , CHESS MASTER
293  , CHET ATKINS
294  , CHIC MODELS
