id, phrase
1    , A BAD SCENE
2    , A BARGAIN AT HALF THE PRICE
3    , A BARGAIN HUNTER'S DREAM
4    , A BIGGER BANG FOR YOUR BUCK
5    , A BIRD IN THE HAND IS TWO IN BUSH
6    , A BITTER PILL TO SWALLOW
7    , A BLENDING OF CULTURES
8    , A BLESSING IN DISGUISE
9    , A BRIGHT FUTURE
10   , A CAREER THAT SPANNED GENERATIONS
11   , A CASE OF THE BLAHS
12   , A CAST OF THOUSANDS
13   , A CHEAP SHOT
14   , A CHIP OFF THE OLD BLOCK
15   , A CHIP ON YOUR SHOULDER
16   , A CITY FULL OF ART & HISTORY
17   , A CITY FULL OF POSSIBILITIES
18   , A CITY RICH IN HISTORY
19   , A CLASS ACT
20   , A CLEAN SWEEP
21   , A CUT ABOVE
22   , A DAY LATE & A DOLLAR SHORT
23   , A DAY LATE AND A DOLLAR SHORT
24   , A DIAMOND IN THE ROUGH
25   , A DIME A DOZEN
26   , A DROP IN THE BUCKET
27   , A FABULOUS DAY FOR A GAME
28   , A FAIR VALUE
29   , A FATE WORSE THAN DEATH
30   , A FEAST FOR THE EYES
31   , A FEAST FOR THE SENSES
32   , A FEATHER IN MY CAP
33   , A FEATHER IN ONE'S CAP
34   , A FEW LAUGHS
35   , A FIRST TIME FOR EVERYTHING
36   , A FISH OUT OF WATER
37   , A FRESH PAIR OF EYES
38   , A FRIENDLY PIECE OF ADVICE
39   , A GAME OF CAT Â AND Â MOUSE
40   , A GAME OF CAT-AND-MOUSE
41   , A GLIMPSE INTO THE FUTURE
42   , A GLIMPSE INTO THE PAST
43   , A GOOD FIT
44   , A GOOD NEIGHBOR A FOUND TREASURE
45   , A GREAT BUY
46   , A GREAT DAY FOR A HIKE
47   , A GREAT LOVE OF LITERATURE
48   , A HAPPY MEDIUM
49   , A HARD DAY'S WORK
50   , A HINT OF CLASS
51   , A HOP SKIP & A JUMP
52   , A KID AT HEART
53   , A KODAK MOMENT
54   , A LABOR OF LOVE
55   , A LEGEND IN HIS OWN MIND
56   , A LEGEND IN HIS OWN TIME
57   , A LEOPARD CAN NOT CHANGE IT'S SPOTS
58   , A LIKELY STORY
59   , A LIKLEY STORY
60   , A LITTLE BIRD TOLD ME
61   , A LITTLE FRIENDLY COMPETITION
62   , A LITTLE SLICE OF PARADISE
63   , A LOT ON YOUR PLATE
64   , A MAN AFTER MY OWN HEART
65   , A MATCH MADE IN HEAVEN
66   , A MATTER OF TRUST
67   , A MEAL FIT FOR A KING
68   , A MEAL IN ITSELF
69   , A MILE A MINUTE
70   , A MILLION DOLLAR SMILE
71   , A MILLION-DOLLAR SMILE
72   , A MISS IS AS GOOD AS A MILE
73   , A MIX OF CURRENT AND TRADITIONAL TRENDS
74   , A MIXED BAG
75   , A MODERN TWIST ON CLASSIC FASHION
76   , A MODERN TWIST ON CLASSIC FASHIONS
77   , A MONTH OF SUNDAYS
78   , A MOTHER KNOWS
79   , A MOTHER'S WORK IS NEVER DONE
80   , A MOTHERS LOVE
81   , A NEW LEASE ON LIFE
82   , A NEW TWIST
83   , A NICE CHANGE OF PACE
84   , A NICE CHUNK OF CHANGE
85   , A NO-WIN SITUATION COMEDY
86   , A ONCE IN A LIFETIME OPPORTUNITY
87   , A PARADISE FOR ADVENTURERS
88   , A PAT ON THE BACK
89   , A PAUSE IN THE ACTION
90   , A PENNY FOR YOUR THOUGHTS
91   , A PENNY SAVED IS A PENNY EARNED
92   , A PERFECT FIT
93   , A PERFECT GETAWAY FOR OUTDOOR ENTHUSIASTS
94   , A PERFECT TRIP FOR TWO
95   , A PICTURE IS WORTH A THOUSAND WORDS
96   , A PICTURES WORTH A THOUSAND WORDS
97   , A PIECE OF CAKE
98   , A PIECE OF THE ACTION
99   , A PLAYGROUND FOR NATURE LOVERS
100  , A PLAYGROUND FOR OUTDOOR ENTHUSIASTS
101  , A PRETTY PENNY
102  , A QUICK RUN
103  , A RARE LOOK INTO
104  , A REAL BUMMER
105  , A RED HERRING
106  , A RED-LETTER DAY
107  , A REFRESHING DIP IN THE OCEAN
108  , A RETURN TO THE BASICS
109  , A RIP'SNORTIN GOOD TIME
110  , A RIP-SNORTIN' GOOD TIME
111  , A RIP-SNORTING GOOD TIME
112  , A ROLL OF THE DICE
113  , A ROLLICKING GOOD TIME
114  , A ROLLING STONE GATHERS NO MOSS
115  , A SENATE TERM IS SIX YEARS
116  , A SHOW OF HANDS
117  , A SIGHT FOR SORE EYES
118  , A SIGHT TO BEHOLD
119  , A SIGN FROM ABOVE
120  , A SLIP OF THE TONGUE
121  , A SMALL PRICE TO PAY
122  , A SMASHING EVENING
123  , A SNUG FIT
124  , A SPLASH OF CONTINENTAL FLAIR
125  , A SPRING IN YOUR STEP
126  , A STEP IN THE RIGHT DIRECTION
127  , A STITCH IN TIME SAVES NINE
128  , A STORM ON THE HORIZON
129  , A STROKE OF GENIUS
130  , A SWING AND A MISS
131  , A TASTE OF THE GOOD LIFE
132  , A TASTE OF THE OLD WEST
133  , A THRILL A MINUTE
134  , A TOAST TO THE BRIDE AND GROOM
135  , A TON OF FUN
136  , A TOUCH OF CLASS
137  , A TOUCH OF SWEETNESS
138  , A TOUGH ACT TO FOLLOW
139  , A TOUGH NUT TO CRACK
140  , A TOWERING BEACON FOR THE WORLD
141  , A TRIP TO MOUNT RUSHMORE
142  , A VARIETY OF CLIMATES
143  , A WATCHED POT NEVER BOILS
144  , A WAY OF LIFE
145  , A WAY WITH WORDS
146  , A WEALTH OF INFORMATION
147  , A WHALE OF A TIME
148  , A WIDE RANGE OF OPTIONS
149  , A WIDE VARIETY
150  , A WINK AND A NOD
151  , A WONDERFUL DAY TO BE OUTSIDE
152  , A WORD OF ADVICE
153  , A WORD TO THE WISE
154  , A WORK IN PROGRESS
155  , A WORLD OF KNOWLEDGE
156  , A WORLD OF WONDER AWAITS YOU
157  , ABOUT FACE
158  , ABOUT THE AUTHOR
159  , ABOUT-FACE
160  , ABOVE & BEYOND
161  , ABOVE AND BEYOND THE CALL OF DUTY
162  , ABOVE AVERAGE
163  , ABOVE MENTIONED
164  , ABOVE PAR
165  , ABOVE THE FRAY
166  , ABOVE WATER
167  , ABOVEMENTIONED
168  , ABRACADABRA!
169  , ABSENCE MAKES THE HEART GROW FONDER
170  , ACADEMIC RESEARCH
171  , ACADEMICALLY GIFTED
172  , ACCENTUATE THE POSITIVE
173  , ACCESS DENIED
174  , ACCORDING TO ALL ACCOUNTS
175  , ACCORDING TO SOURCES
176  , ACE IN THE HOLE
177  , ACHILLES' HEEL
178  , ACROSS THE BOARD
179  , ACROSS THE POND
180  , ACROSS-THE-BOARD
181  , ACT ACCORDINGLY
182  , ACT LIKE AN ADULT!
183  , ACT NOW
184  , ACT YOUR AGE
185  , ACTING ON IMPULSE
186  , ADAM'S APPLE
187  , ADD IT TO MY SHOPPING LIST
188  , ADMIRAL OF THE FLEET
189  , ADMIT ONE
190  , ADULTS GET IN AT THE KIDS PRICE
191  , ADVANCED RESERVATIONS REQUIRED
192  , AFFECTIONATE & THOUGHTFUL
193  , AFFECTIONATE THOUGHTFUL
194  , AFRAID OF YOUR OWN SHADOW
195  , AFTER DARK
196  , AFTER HOURS
197  , AFTER MONTHS OF PREPARATION
198  , AFTER THE FACT
199  , AFTER-HOURS
200  , AGAINST MY BETTER JUDGMENT
201  , AGE IS JUST A NUMBER
202  , AGE IS ONLY A NUMBER
203  , AGE OF EXPLORATION
204  , AGED TO PERFECTION
205  , AGELESS BEAUTY
206  , AGING GRACEFULLY
207  , AGREE TO DISAGREE
208  , AH SATAN SEES NATASHA
209  , AHEAD OF ITS TIME
210  , AHEAD OF THE CURVE
211  , AHEAD OF THE GAME
212  , AHEAD OF TIME
213  , AIN'T IT THE TRUTH?
214  , AIR CONDITIONED COMFORT
215  , AIRING YOUR DIRTY LAUNDRY
216  , ALAKAZAM!
217  , ALIVE AND KICKING
218  , ALL BARK & NO BITE
219  , ALL DRESSED UP AND NOWHERE TO GO
220  , ALL EYES ARE ON YOU
221  , ALL EYES ON YOU
222  , ALL FIRED UP!
223  , ALL GOOD THINGS COME TO THOSE WHO WAIT
224  , ALL HANDS ON DECK
225  , ALL IN A DAY'S WORK
226  , ALL IN DUE TIME
227  , ALL IN ONE PIECE
228  , ALL MAJOR CREDIT CARDS ACCEPTED
229  , ALL OPERATORS ARE BUSY
230  , ALL SHOW AND NO GO
231  , ALL SQUARED AWAY
232  , ALL SYSTEMS GO
233  , ALL TALK NO ACTION
234  , ALL THAT AND A BAG OF CHIPS
235  , ALL THAT GLITTERS IS NOT GOLD
236  , ALL THAT JAZZ
