id, phrase
1   , A CHORUS & WAITING LINE
2   , AFRICAN & SHRINKING VIOLET
3   , AFRICAN AND SHRINKING VIOLET
4   , AIRPORT AND PROJECT RUNWAY
5   , ALCATRAZ & GILLIGAN'S ISLAND
6   , ALEXANDER & GEORGE HAMILTON
7   , ALEXANDER AND GEORGE HAMILTON
8   , ALICE & COCO COOPER
9   , ALICIA & CAR KEYS
10  , ALIEN & HUMAN BEINGS
11  , ALISHA & CAR KEYS
12  , ALPHABETICAL & NUMERICAL ORDER
13  , AMAZON RIVER & GANGES RIVER DOLPHIN
14  , ANDREW & DON'T PRESS YOUR LUCK
15  , ANN & CHICKEN CURRY
16  , ANNIE & BANQUET HALL
17  , ANT & BRITISH COLONY
18  , ANTIQUE & VOTING BOOTH
19  , APPEALS & KING'S COURT
20  , ARTICHOKE & ARTIFICIAL HEART
21  , ASSIGNED PARKING & STORAGE SPACE
22  , ASSOCIATED & PANINI PRESS
23  , ASSSOCIATED & PANINI PRESS
24  , ASTROLOGY & MEDICAL CHART
25  , AUSTIN & SUPERNATURAL POWERS
26  , AUTOMATIC & HANDSOME PILOT
27  , AWESOME ARCHITECTURE & ARTWORK
28  , BB & CHICKEN A LA KING
29  , BABY & AFTERNOON SHOWER
30  , BABY & APRIL SHOWER
31  , BABY & HALL MONITOR
32  , BABY & SECRET FORMULA
33  , BABY AND CHILI POWDER
34  , BACKGROUND & RENT CHECK
35  , BAKED AND EXPORTED GOODS
36  , BAKER'S & DIRTY DOZEN
37  , BAKING & BABY POWDER
38  , BAKING & BLASTING POWDER
39  , BAKING & DIET SODA
40  , BAKING & POWDER PUFF
41  , BAKING & TALCUM POWDER
42  , BALL & HOSPITAL GOWN
43  , BALLET & DESMOND TUTU
44  , BALLOT & GIFT BOX
45  , BALLOT & SUGGESTION BOX
46  , BALLPOINT & FINEPOINT PEN
47  , BANK & FORTUNE TELLER
48  , BANK AND MINERAL DEPOSIT
49  , BANQUET AND COFFEE TABLE
50  , BARGAINING & POTATO CHIP
51  , BARRY & SAVINGS BONDS
52  , BASEBALL & HOPE DIAMOND
53  , BASEBALL & WINTER SEASON
54  , BASIC & POTTY TRAINING
55  , BASS & TREBLE CLEF
56  , BATHING & BUSINESS SUIT
