id, phrase
1   , AMAZING ANTIQUE ACCENTS
2   , AMAZING ANTIQUE ACCOUNTS
3   , AMAZING AQUATIC ANIMALS
4   , AMAZING ART ACTIVITIES
5   , ATTRACTIVE ANTIQUE ARMCHAIR
6   , ATTRACTIVE ANTIQUE ARMCHAIRS
7   , AWESOME ARCHITECTURE & ARTWORK
8   , AWESOME ARTISTIC ABILITY
9   , BACKYARD BARBECUE BASH
10  , BARK BEETLE
11  , BATS BOBCATS & BEARS
12  , BEAUTIFUL BABY'S BREATH BOUQUET
13  , BEAUTIFUL BLOOMING BEGONIAS
14  , BEAUTIFUL BLOOMING BULBS
15  , BEAUTIFUL BLUSHING BRIDE
16  , BEAUTIFUL BOUNCING BABY BOYS
17  , BEAUTIFUL BOUTIQUE BISTRO
18  , BEST BEAUTY BUYS
19  , BIG BEEF BURRITO
20  , BIG BELT BUCKLE
21  , BLACK BUCKLE BOOTS
22  , BLOOMING BLOSSOMING BULBS
23  , BLUE BABY BOOTIES
24  , BOGEYS & BIRDIES
25  , BRIGHT BLOOMING BEGONIAS
26  , BROKEN BASEBALL BAT
27  , BROWN BUTTERFLY
28  , BUBBLE BATH BOMBS
29  , BUTTERCUPS BLUEBONNETS AND BABY'S BREATH
30  , CAMPSITES CANOES & CABINS
31  , CAREFULLY CUTTING CHICKEN CHUNKS
32  , CELEBRITY CHEF'S CULINARY CREATIONS
33  , CHEERFUL CHRISTMAS CAROLERS
34  , CHEWY CHERRY CANDY
35  , CHEWY CHOCOLATE CHURROS
36  , CHEWY CHOCOLATE COOKIE
37  , CHOCOLATE CHIFFON CAKE
38  , CLASSIC COUNTRY CROONER
39  , CLEANED CERAMIC CROCKS
40  , COLORFUL CARD COLLAGE
41  , COLORFUL CAULIFLOWER CORAL
42  , COMMEMORATIVE COIN COLLECTION
43  , CONSTANTLY CHANGING CHANNELS
44  , COOL CONCEPT CAR
45  , COWBOY CULTURE
46  , CRAFT CABINET
47  , CRAMPED OFFICE CUBICLE
48  , CREAMY CHEDDAR CHEESE
49  , CREAMY CLAM CHOWDER
50  , CREATIVE CANDLE CENTERPIECE
51  , CREATIVE CATERING COMPANY
52  , CREATIVE CHALLENGES
53  , CREATIVE CONTEMPORARY CRAFTS
54  , CREATIVE CRAFT COCKTAIL
55  , CREEPY CRAWLERS
56  , CRISP CRAB CAKES
57  , CRISP CRUNCH CARROTS
58  , CRISP CRUNCHY CARROTS
59  , CRISPY CRUNCHY CARROTS
60  , CRISPY CRUNCHY CHICKPEAS
61  , CROWDED COMEDY CLUB
62  , CRUNCHY CHERRY CANDY
63  , CRUNCHY COCONUT CHIPS
64  , CULT-CLASSIC COMEDIES
65  , CUTE CUDDLY CATS
66  , DECADENT DELICIOUS DESSERT
67  , DELICIOUS DECADENT DESSERTS
68  , DELICIOUS DECADENT DINING
69  , DELICIOUS DESSERT DIPS
70  , DELIGHTFUL DECORATIVE DESIGNS
71  , DISPOSABLE DIAPERS
72  , DISPOSABLE DIRTY DIAPERS
73  , ENERGY ENDURANCE & EXERCISE
74  , FABULOUS FAMOUS FACES
75  , FABULOUS FAMOUS FESTIVAL
76  , FABULOUS FILBERT FARM
77  , FABULOUS FINGER FOODS
78  , FAIRS FESTIVALS & FEASTS
79  , FAMILIAR FACES
80  , FAMILY-FRIENDLY FESTIVALS
81  , FANTASTIC FINGER FOODS
82  , FANTASTIC FRUITY FUSIONS
83  , FANTASTIC FUN FUTURE
84  , FLUFFY FRUIT FLAVORED FROSTING
85  , FLUFFY FRUIT-FLAVORED FROSTING
86  , FLUTTERING FLAPPING FLAG
87  , FOOD FUEL & FAT
88  , FOOTWEAR FADS
89  , FOREST-FLOOR FORAGERS
90  , FRAGRANT FRESH FLOWERS
91  , FRECKLED FACE
92  , FRIENDLY FACEBOOK FOLLOWERS
93  , FRIENDLY FACES
94  , FROZEN FRENCH FRIES
95  , FUN FEISTY FESTIVALS
96  , FUN FLAVORFUL FOOD
97  , FUN FLAVORFUL FOODS
98  , FUN FOOTWEAR
99  , GAPS GULFS & GORGES
100 , GAPS GULPS & GORGES
101 , GEESE GROUSE & GULLS
102 , GETTING GOOD GRADES
103 , GREAT GOLF GETAWAY
104 , GREEN & TOM THUMB
105 , HANDY HELPFUL HANDBOOK
106 , HAWKS HORSES & HOUNDS
107 , HELPFUL HOUSEKEEPING HANDBOOK
108 , HONEY HAM & HOTCAKES
109 , HOT HAM & HOTCAKES
110 , INCREDIBLE IDYLLIC ISLANDS
111 , INNOVATIVE INTERESTING IDEAS
112 , INTELLIGENT IDEALISTIC INVENTORS
113 , INTELLIGENT INDUSTRY INSIDER
114 , JEANS JUMPERS & JERSEYS
115 , LAUGHING LOCALS LOUNGING
116 , LAUGHTER LIFE & LIBERTY
117 , LEADERSHIP LIFE & LIBERTY
118 , LIVE LOVE LAUGH
119 , LONG LENGTHY LECTURES
120 , LONG-LOST LOVE
121 , LOVELY LEADING LADY
122 , LOVELY LUSH LASHES
123 , LOVELY LUXURIOUS LIFESTYLE
124 , LOVELY LUXURIOUS LINENS
125 , LOVELY LUXURIOUS LOCALES
126 , LUSH LEGENDARY LANDSCAPES
127 , MAD MONEY
128 , MAGNIFICENT MIXED MEDIA
129 , MAGNIFICENT MUSES & MONSTERS
130 , MAKING MONOPOLY MONEY
131 , MANDATORY MONDAY-MORNING MEETING
132 , MANY MEMORABLE MOMENTS
133 , MARVELOUS MARINE MYSTERIES
134 , MARVELOUS MERRY MELODIES
135 , MIGHTY MAGNIFICENT MEAL
136 , MONDAY MORNING MEETING
137 , MYSTICAL MAGICAL MEMORIES
138 , NICE NEW NOTEBOOKS
139 , PALMS PINEAPPLES PARADISE
140 , PARADES PICNICS PARTIES
141 , PARSLEY & CORN FLAKES
142 , PARTY PUMPS
143 , PEACEFUL POND
144 , PENS PENCILS & PAINTS
145 , PERFECT PARTY PLAYLIST
146 , PERFECT PATTERNED PLATES
147 , PERFECT PEACH PIE
148 , PERFECT PENNE PASTA
149 , PERFECT PET PUPPY
150 , PERFECT PUFF PASTRY
151 , PERFECTLY PRESERVED PARADISE
152 , PERFECTLY PRETTY PICNIC
153 , PLUMP PERFECT PLUMS
154 , PLUMP PICKLED PEPPERS
155 , POPULAR PIZZA PARLOR
156 , POPULAR PIZZA PLACES
157 , POPULAR PORK POT STICKERS
158 , POPULAR PUMPKIN PATCH
159 , PORCELAIN PLAQUES
160 , PRECIOUS PATRIOTIC PLACES
161 , PRESIDENTIAL & NAVY SEAL
162 , PRETTY PERENNIAL PLANTS
163 , PRETTY PROUD PEACOCKS
164 , PREVIOUSLY PURCHASED PRODUCE
165 , PRIVATE PLUNGE POOL
166 , PROFESSIONAL PARTY PLANNER
167 , PROFESSIONAL PING-PONG PLAYER
168 , PURPLE PAISLEY PAJAMAS
169 , RARE RELICS
170 , REST RELAX REFRESH REJUVENATE
171 , RETURN RECEIPT REQUESTED
172 , REVOLVING ROOFTOP RESTAURANT
173 , RIVER ROCKS
174 , SALTED SUNFLOWER SEEDS
175 , SALTY SMOKED SAUSAGE
176 , SAUTEED SCALLOPS & STEAMED SHRIMP
177 , SCRUMPTIOUS SEAFOOD STEW
178 , SCRUMPTIOUS SUCCULENT STRAWBERRIES
179 , SENSATIONAL SEASONAL SNACKS
180 , SENSATIONAL SECTIONAL SOFA
181 , SENSATIONAL STAGE SHOWS
182 , SENSATIONAL SUBMARINE SANDWICH
183 , SHORTS SANDALS & SWIMSUITS
184 , SILLY SHENANIGANS
185 , SIMPLE STOCKING STUFFERS
186 , SINCERE & STRONG
187 , SLEEK SLICK & SNAZZY
188 , SPAGHETTI SQUASH STROMBOLI
189 , SPECTACULAR SUNLIT SUITE
