id, phrase
1   , A BEND IN THE RIVER
2   , A COUNTRY GIRL IN PARIS
3   , A HOLLY JOLLY CHRISTMAS
4   , A HORSE WITH NO NAME
5   , A LITTLE MORE SUMMERTIME
6   , A SONG FOR MAMA
7   , A SONG FOR PARIS
8   , A SPOONFUL OF SUGAR
9   , A SUMMER SONG
10  , A TASTE OF HONEY
11  , A THOUSAND MILES FROM NOWHERE
12  , A WHOLE NEW WORLD
13  , ACT NATURALLY
14  , ADDICTED TO LOVE
15  , AFTERNOON IN PARIS
16  , AIN'T MISBEHAVIN'
17  , AIN'T NO WAY TO TREAT A LADY
18  , AIN'T TOO PROUD TO BEG
19  , ALL I WANT IS YOU
20  , ALL IN ALABAMA
21  , ALL MY EX'S LIVE IN TEXAS
22  , ALL MY LOVING
23  , ALL MY ROWDY FRIENDS ARE COMING OVER TONIGHT
24  , ALL NIGHT LONG
25  , ALL NIGHT LONG ALL NIGHT
26  , ALL TIME HIGH
27  , ALL WE EVER KNEW
28  , ALL YOU NEED IS LOVE
29  , ALMOST PARADISE
30  , ALREADY CALLIN' YOU MINE
31  , AMERICA THE BEAUTIFUL
32  , AMERICAN BISON
33  , AMERICAN PIE
34  , ANOTHER DAY IN PARADISE
35  , ANOTHER ONE BITES THE DUST
36  , APRIL IN PARIS
37  , APRIL SHOWERS
38  , ARE YOU GONNA GO MY WAY
39  , AS TIME GOES BY
40  , AUTUMN IN CONNECTICUT
41  , BACK HOME IN DERRY
42  , BACK IN BLACK
43  , BACK IN BLACK BY ACDC
44  , BACK TO DECEMBER
45  , BACK TO LIFE HOWEVER DO YOU WANT ME
46  , BAD APPLE!!
47  , BAD MOON RISING
48  , BARNACLE BILL THE SAILOR
49  , BATTLE HYMN OF THE REPUBLIC
50  , BE MY LITTLE BABY
51  , BECAUSE YOU LOVED ME
52  , BEHIND BLUE EYES
53  , BEHIND MY CAMEL
54  , BEHIND THE SUN
55  , BENNIE AND THE JETS
56  , BET YOU CAN'T DO IT LIKE ME
57  , BETTE DAVIS EYES
