id, phrase
1     , A BASKET FULL OF FRESH FRUIT
2     , A BEAUTIFUL FALL DAY
3     , A BEAUTIFUL STRAND OF PEARLS
4     , A BELLYFUL OF SUGAR
5     , A BIG BEAR HUG
6     , A BIG HINT
7     , A BIG PROMOTION WITH A PAY RAISE
8     , A BIG WIN
9     , A BOUQUET OF BALLOONS
10    , A BOUQUET OF MORNING GLORIES
11    , A BOUQUET OF ROSES FOR MOM
12    , A BOUTIQUE OF MORNING GLORIES
13    , A BOWL OF BOSTON BAKED BEANS
14    , A BOWL OF LUCKY CHARMS CEREAL
15    , A BRAND NEW TOY FIRE ENGINE
16    , A BRAND-NEW TOY FIRE ENGINE
17    , A BRISK PACE
18    , A BUCKET OF CHICKEN LEGS & THIGHS
19    , A BUNCH OF BANANAS
20    , A CAR ALARM GOING OFF LATE AT NIGHT
21    , A CASE OF WANDERLUST
22    , A CHANGE OF HEART
23    , A COLLECTION OF OLD FAMILY RECIPES
24    , A COLLECTION OF OLD FAMILY RECIPES AND COOKBOOKS
25    , A COOLER FILLED WITH ICE-COLD BEER
26    , A COOLER WITH BOTTLED WATER
27    , A CORNCOB PIPE & A BUTTON NOSE
28    , A CROP OF SOYBEANS
29    , A CURE FOR THE COMMON COLD
30    , A DEGREE IN ART DESIGN
31    , A DELIGHTFUL DAY
32    , A DIET OF FRUITS & VEGETABLES
33    , A DREAM COME TRUE
34    , A DRESS WORN BY AUDREY HEPBURN
35    , A FABULOUS ADVENTURE
36    , A FACE FULL OF FRECKLES
37    , A FAIRY-TALE ENDING
38    , A FATHER'S HEART
39    , A FEW LAUGHS
40    , A FIRM GRIP
41    , A FLEET OF HISTORIC VESSELS
42    , A FLIGHT OF STAIRS
43    , A FOREIGN LANGUAGE
44    , A FORK IN THE ROAD
45    , A FRESH COAT OF PAINT
46    , A FRESH START
47    , A GAME OF CRAPS
48    , A GAME OF FROGGER
49    , A GLASS BOWL FILLED WITH EGGNOG
50    , A GLASS OF GINGER JUICE
51    , A GLIMPSE BACKSTAGE
52    , A GOOD BUY
53    , A GOOD FIT
54    , A GOOD LAUGH
55    , A GOOD SENSE OF HUMOR
56    , A GOOD VIBE
57    , A GREAT BIG HUG
58    , A GREAT BUY
59    , A GREAT CITY
60    , A GREAT DAY
61    , A GREAT DEAL
62    , A GREAT PHOTO OP
63    , A GREAT PICK-ME-UP
64    , A GREAT SENSE OF ACCOMPLISHMENT
65    , A GREAT SENSE OF HUMOR
66    , A GROWING BUSINESS
67    , A HANDFUL OF PAPER CLIPS
68    , A HANDFUL OF PAPERCLIPS
69    , A HANDWRITTEN LETTER
70    , A HARD-AND FAST RULE
71    , A HARD-AND-FAST RULE
72    , A HIGH VOICE
73    , A HOLE IN ONE
74    , A HOP SKIP & A JUMP
75    , A HOUSEHOLD NAME
76    , A HUGE FAVOR
77    , A HUGE HIT
78    , A HUGE IMPACT
79    , A JOB WELL DONE
80    , A JOYFUL TIME
81    , A KISS ON THE CHEEK
82    , A KNOWN FACT
83    , A LETTER TO SANTA
84    , A LIGHT TOUCH
85    , A LIGHT-BULB MOMENT
86    , A LION'S TAIL HANGING OFF MY BELT
87    , A LITTLE MORE SUMMERTIME
88    , A LOCAL'S GUIDE TO THE CITY
89    , A LOUD VOICE
90    , A LOVELY GESTURE
91    , A LOVING FATHER'S ADVICE
92    , A LUMP SUM
93    , A MEDLEY OF HIT SONGS
94    , A MILLION-DOLLAR SMILE
95    , A MINIATURE NEW YORK
96    , A MOTHER'S LOVE
97    , A MUG OF GREEN BEER
98    , A NEW BEDROOM SET
99    , A NEW CAR
100   , A NEW CULTURE
101   , A NEW PAIR OF SHOES
102   , A NEW PASSPORT WALLET
103   , A NEW TIE
104   , A NICE HOT SHOWER
105   , A NOVEL IDEA
106   , A PABLO PICASSO MASTERPIECE
107   , A PAIR OF COMFORTABLE SKATES
108   , A PAIR OF FIRST-CLASS AIRLINE TICKETS
109   , A PAIR OF FIRST-CLASS AIRPLANE TICKETS
110   , A PASSPORT WITH MANY STAMPS
111   , A PAT ON THE BACK
112   , A PATH OF ROSE PETALS
113   , A PERFECT RELATIONSHIP
114   , A PICTURE OF MY CAT WITH SANTA CLAUS
115   , A PILE OF BOOKS & PAPERS
116   , A PINCH OF SALT
117   , A PLEA OF NOT GUILTY
118   , A PLEASANT SURPRISE
119   , A QUICK FLIGHT
120   , A QUICK GLANCE
121   , A QUICK READ
122   , A QUICK RUN
123   , A QUICK SMOOCH
124   , A QUIET MOMENT
125   , A RACK OF SUIT JACKETED
126   , A RACK OF SUIT JACKETS
127   , A REALLY GREAT TRAVEL DEAL
128   , A RECIPE FOR PERFECT NAAN
129   , A REFRESHING DIP IN THE OCEAN
130   , A REFRESHING SWIM
131   , A RELAXING BATH
132   , A REPLICA OF THE STATUE OF LIBERTY
133   , A ROUND OF APPLAUSE
134   , A ROUND OF GOLF
135   , A RUSH OF ADRENALINE
136   , A SEA OF CLOUDS
137   , A SHARP PENCIL
138   , A SHORT STROLL BEFORE DINNER
139   , A SHOW THAT OPENED TO RAVE REVIEWS
140   , A SIGH OF RELIEF
141   , A SIXTH SENSE
142   , A SMARTER SMARTPHONE
143   , A SNUG FIT
144   , A STACK OF CDS
145   , A STACK OF GREENBACKS
146   , A STAMP ON MY PASSPORT
147   , A STAMP ON YOUR PASSPORT
148   , A STRING OF PEARLS
149   , A STROLL AROUND THE BLOCK
150   , A SUITCASE FILLED WITH CASH
151   , A SYSTEM OF CHANNELS & BRIDGES
152   , A TEASPOON OF TURMERIC
153   , A TEMPTING IDEA
154   , A THICK ROLL OF DUCT TAPE
155   , A THICK WAD OF BILLS
156   , A TIGHT GRIP
157   , A TRICOLOR FLAG
158   , A TRIP FOR THE WHOLE FAMILY
159   , A TRIP OVERSEAS
160   , A TRIP TO ANOTHER COUNTRY
161   , A TRIP TO BALI
162   , A TRIP TO CAMBRIDGE
163   , A TRIP TO EDINBURG
164   , A TRIP TO EDINBURGH
165   , A TRIP TO THE PUMPKIN PATCH
166   , A TUBE OF SUNSCREEN
167   , A TWINKLE IN MY EYE
168   , A TWIST OF LEMON
169   , A WALK IN THE PARK
170   , A WARM & COLD SWEATER
171   , A WARM & COZY SWEATER
172   , A WARM CARING HUG
173   , A WARM COZY FIRE IN THE FIREPLACE
174   , A WARM EMBRACE
175   , A WARM WELCOME
176   , A WEDDING PLAN FOR EVERYONE
177   , A WIG BLOWING AWAY IN THE WIND
178   , A WINDERFUL & EXCITING TIME
179   , A WONDERFUL & EXCITING TIME
180   , A WONDERFUL DAYDREAM
181   , A WONDERFUL EXPERIENCE
182   , A-LINE DRESSES
183   , AARON'S ROD
184   , ABACUS
185   , ABBREVIATION
186   , ABBREVIATIONS
187   , ABORIGINAL CULTURE
188   , ABOVE-GROUND POOL
189   , ABOVE-GROUND SUBWAY
190   , ABS & GLUTES
191   , ABSENTEE BALLOT
192   , ABSENTEE VOTE
193   , ABSORPTION NEBULA
194   , ABSTRACT ART
195   , ABSTRACT GLASS SCULPTURE
196   , ABUNDANT WILDLIFE
197   , AC ADAPTER
198   , ACADEMIC EXCELLENCE
199   , ACADEMIC GRANT
200   , ACADEMIC RESEARCH
201   , ACADEMIC SCHOLARSHIP
202   , ACCELERATOR
203   , ACCESSORIES
204   , ACCESSORIES & WATCHES
205   , ACCESSORIES AND WATCHES
206   , ACCLAIMED ACTRESS
207   , ACCORDION
208   , ACCOUNT RECEIVABLE
209   , ACCOUNTS RECEIVABLE
210   , ACCOUNTS RECEIVEABLE
211   , ACCUMULATED BALANCE
212   , ACCURATE BOOKKEEPING
213   , ACCURATE ESTIMATE
214   , ACCURATE RUMOR
215   , ACCUSATION
216   , ACE OF HEARTS
217   , ACHES & PAINS
218   , ACHES AND PAINS
219   , ACHIEVEMENT AWARD
220   , ACHILLES HEEL
221   , ACHILLES TENDON
222   , ACHING HEART
223   , ACOUSTIC GUITAR
224   , ACQUA ALTA
225   , ACQUIRED TRAIT
226   , ACRES OF BRIGHT-GREEN GRASS
227   , ACRES OF LAND
228   , ACRES OF LUSH GREEN GARDENS
229   , ACRYLIC BASED OVERCOAT
230   , ACRYLIC BUTTONS
231   , ACRYLIC EYE SHADOW
232   , ACRYLIC GLASS TUNNELS
233   , ACRYLIC NAILS
234   , ACRYLIC PAINTS & PAINTBRUSHES
235   , ACRYLIC PAINTS AND PAINTBRUSHES
236   , ACRYLIC-BASED OVERCOAT
237   , ACT OF KINDNESS
238   , ACTING LESSONS
239   , ACTION FIGURES
240   , ACTION-ADVENTURE MOVIES
241   , ACTIVE LIFESTYLE
242   , ACTIVE LIFESTYLES
243   , ACTIVE TRAVEL
244   , ACTIVE VOLCANOES
245   , ACTIVE WEAR & CASUALWEAR
246   , ACTIVITY BOOK
247   , ACTS OF COMPASSION
248   , ACTS OF KINDNESS
249   , ADAPTED SCREENPLAY
250   , ADDING AND SUBTRACTING
251   , ADDITION & SUBTRACTION
252   , ADDRESS BOOK
253   , ADDRESS LABELS
254   , ADHESIVE TAPE
255   , ADIDAS SHIN GUARDS
256   , ADIDIAS SHIN GUARDS
257   , ADJUSTABLE DOCUMENT FOLDER
258   , ADJUSTABLE DOCUMENT HOLDER
259   , ADJUSTABLE DOG HARNESS
260   , ADJUSTABLE HEADREST
261   , ADJUSTABLE WRENCH
262   , ADMINISTRATIVE RESPONSIBILITY
263   , ADMISSIBLE EVIDENCE
264   , ADMISSION PRICE
265   , ADOBE BRICKS
266   , ADOLESCENT CLOWNING AROUND
267   , ADORABLE OUTFITS
268   , ADRENALINE RUSH
269   , ADULT BOOKS
270   , ADULT EDUCATION CLASS
271   , ADULTHOOD
272   , ADVANCE NOTICE
273   , ADVANCE WARNING
274   , ADVANCED PLACEMENT CLASSES
275   , ADVANCED TECHNOLOGY
276   , ADVENTURE STORY
277   , ADVENTURE TOURISM
278   , ADVENTUROUS TRIP
279   , ADVERBS & ADJECTIVES
280   , ADVERSE CONDITIONS
281   , ADVERTISING BANNER
282   , ADVERTISING CAMPAIGN
283   , ADVERTISING POSTERS
284   , ADVICE
285   , AERIAL ACTS
286   , AERIAL FOOTAGE
287   , AERIAL PHOTO
288   , AERIAL ROPESILDES
289   , AERIAL ROPESLIDES
290   , AERIAL SURVEILLANCE
291   , AERIAL VIEW
292   , AEROBIC EXERCISE
293   , AEROBICS CLASS
294   , AEROBICS CLASSES
295   , AFFECTIONATE & THOUGHTFUL
296   , AFFECTIONATE NICKNAME
297   , AFFIDAVIT
298   , AFFORDABLE PRICES
299   , AFRICAN CATS
300   , AFRICAN SAFARI PITH HELMET
301   , AFTER- SHAVE
302   , AFTER-SHAVE
303   , AFTERNOON NAP
304   , AFTERNOON SNACK
305   , AFTERNOON SUNSHINE
306   , AGE-OLD RIVALRY
307   , AGENCY INSTRUCTION MANUAL
308   , AGGRESSIVE SALES PITCH
309   , AGILITY TRAINING
310   , AGRICULTURAL MACHINERY
311   , AGRICULTURE
312   , AIR AMBULANCE
313   , AIR BAGS
314   , AIR COMPRESSOR
315   , AIR FRESHENER
316   , AIR MATTRESS
317   , AIR POLLUTION
318   , AIR PURIFIER
319   , AIR SEEDER
320   , AIR TRAVEL
321   , AIR TURBULENCE
322   , AIR-POWERED ROCKETS
323   , AIR-TIGHT CONTAINERS
324   , AIRCRAFT CARRIER
325   , AIRFARE FOR TWO
326   , AIRLINE HIGHWAY
327   , AIRLINE TICKETS
328   , AIRPLANE
329   , AIRPLANE HANGER
330   , AIRPLANE MODE
331   , AIRPLANES & AIRCRAFT
332   , AIRPLANES & AIRCRAFTS
333   , AIRPORT PARKING
334   , AIRPORT SHUTTLE
335   , AIRWAVES
336   , AIRY LONG-SLEEVED SHIRT
337   , AL FRESCO DINING
338   , AL FRESNO DINING
339   , ALADDIN'S LAMP
340   , ALASKA TRADE BUILDING
341   , ALBUM TOUR
342   , ALCHEMY & WIZARDRY
343   , ALCOHOL-FREE TONER
344   , ALFALFA
345   , ALGEBRA
346   , ALGEBRA BOOK
347   , ALICE'S ADVENTURES IN WONDERLAND
348   , ALKALINE BATTERIES
349   , ALKALINE METALS
350   , ALL NEW WARDROBE
351   , ALL THE COLORS OF THE RAINBOW
352   , ALL-DAY BREAKFAST MENU
353   , ALL-INCLUSIVE PACKAGE
354   , ALL-INCLUSIVE PACKAGES
355   , ALL-NATURAL COSMETICS
356   , ALL-NATURAL DIET
357   , ALL-NATURAL SOAPS
358   , ALL-NEW WARDROBE
359   , ALL-PURPOSE GLUE
360   , ALL-PURPOSE MULTI-TOOL
361   , ALL-PURPOSE-MULTI-TOOL
362   , ALL-WEATHER TIRES
363   , ALL-YOU CAN EAT BREAKFAST MENU
364   , ALLERGIC REACTION
365   , ALLIGATOR LEATHER BACKPACK
366   , ALLIGATOR WALLET
367   , ALLIGATOR-LEATHER BACKPACK
368   , ALMOND MILK
369   , ALMOND-CRUSTED WAHOO
370   , ALOE VERA GEL
371   , ALOE VERA PLANT
372   , ALOE-VERA GEL
373   , ALOE-VERA LOTION
374   , ALPHA BETA & GAMMA RAYS
375   , ALPHABET BLOCKS
376   , ALPHABETICAL LIST
377   , ALPINE BUTTERFLY KNOT
378   , ALPINE GLACIERS
379   , ALPINE LAKES
380   , ALPINE MOUNTAINTOPS & RAGING RIVERS
381   , ALPINE RIVERS
382   , ALPINE TERRAIN
383   , ALPINE-BUTTERFLY KNOT
384   , ALTERNATE DIRECTIONS
385   , ALTERNATING GREEN & WHITE PANELS
386   , ALTERNATIVE -FUEL-POWERED-CAR
